model,num_chains,predictor,bucket_size,seeds,repeats_per_seed,median_speedup,speedup_seed_min,speedup_seed_max,speedup_ci_low,speedup_ci_high,median_time_seconds,time_q1_seconds,time_q3_seconds,all_leapfrog_counts_match
eight_schools_centered,512,history,64,5,30,0.9677678918346861,0.888249336480035,1.0031171904224436,0.8758711713848902,1.0088193078525352,2.064993914216757,1.990743039175868,2.1465662829577923,True
eight_schools_centered,512,history,128,5,30,1.0434953004038887,0.9836451125334165,1.0929565110299793,0.9831038563866057,1.096858847220222,1.8690552897751331,1.8234492801129818,1.9171482026576996,True
eight_schools_centered,512,last-depth,64,5,30,0.9678822442160766,0.882209680942563,1.0043176976566859,0.8796463977904777,1.0048690232698967,2.052252195775509,1.9945437982678413,2.1427952088415623,True
eight_schools_centered,512,last-depth,128,5,30,1.0424076641338473,1.0186425610437708,1.0975503952111765,1.0086032004276255,1.0992356055728008,1.8661714307963848,1.8256305772811174,1.9100782833993435,True
eight_schools_centered,512,unsorted,64,5,30,0.9852362986715623,0.9469796216096904,1.0003756674409892,0.9422091192295139,1.0136513728732468,1.986208125948906,1.934295054525137,2.085340905934572,True
eight_schools_centered,512,unsorted,128,5,30,1.0515988602783402,1.002248484598622,1.1045975160879504,1.0007014073811793,1.106650779599043,1.8593281172215939,1.8275847882032394,1.9031745456159115,True
eight_schools_noncentered,512,history,64,5,30,0.8133124873426979,0.7786664092602689,0.8276283349520461,0.7577119950019234,0.8549499687155646,0.534448504447937,0.5098627805709839,0.5738409403711557,True
eight_schools_noncentered,512,history,128,5,30,0.8918031885681722,0.8595918743668397,0.9434384605321114,0.8359511917437753,0.9582151492603683,0.4861408472061157,0.45354999229311943,0.51663120649755,True
eight_schools_noncentered,512,last-depth,64,5,30,0.8153845119347883,0.7363274310220197,0.8689134574027945,0.7301727680689353,0.8838129380378514,0.536975909024477,0.505104623734951,0.5804926697164774,True
eight_schools_noncentered,512,last-depth,128,5,30,0.9110928646280898,0.8699541516566599,0.9720286016632967,0.8654847991860631,0.9878588918048715,0.4735902212560177,0.45499654300510883,0.4963902123272419,True
eight_schools_noncentered,512,unsorted,64,5,30,0.8241366314588888,0.7522542527343513,0.8683589198159726,0.7534456568332123,0.8762746245683577,0.533377081155777,0.5066490210592747,0.5696757361292839,True
eight_schools_noncentered,512,unsorted,128,5,30,0.9198745825079879,0.8889164619198578,0.9847776220421697,0.8736765361365489,0.9932221673262326,0.46942075714468956,0.4485690239816904,0.4890493806451559,True
funnel,512,history,64,5,30,0.997184119995454,0.8256649488414975,1.1523979058022442,0.8257628040255094,1.1584309707163627,1.1643172688782215,1.0997259821742773,1.232143584638834,True
funnel,512,history,128,5,30,0.9844911164003793,0.9535736506148749,1.0418365769748685,0.9442782132980837,1.0482523923168394,1.1737224906682968,1.1028651390224695,1.2272837720811367,True
funnel,512,last-depth,64,5,30,0.8782581955790282,0.7778374491037802,0.9729496859785778,0.7756937678342374,0.9851860634431863,1.3174684569239616,1.2453223392367363,1.4013987109065056,True
funnel,512,last-depth,128,5,30,0.915863939558394,0.7815667079862303,0.9438526452320078,0.7658534435602568,0.9542025509242323,1.3370782174170017,1.2550762444734573,1.421384559944272,True
funnel,512,unsorted,64,5,30,0.6486701901517112,0.5980403476574718,0.6892277102905544,0.5816636416555767,0.6909568488514115,1.8803841136395931,1.7131996434181929,2.014000717550516,True
funnel,512,unsorted,128,5,30,0.6649128037845065,0.6430173715159817,0.6730062209272935,0.6384300042369874,0.687204541210695,1.7832032963633537,1.6317139361053705,1.8990401811897755,True
gaussian_process,512,history,64,5,30,0.991658157887604,0.9898059786486129,1.0671236771968942,0.9762891122309131,1.0696436908183469,3.8252006471157074,3.7070422619581223,3.9843285717070103,True
gaussian_process,512,history,128,5,30,1.0120192367733924,0.9246109022552091,1.095840583038287,0.9226500333564635,1.108174484148082,3.788592528551817,3.661987265571952,3.9857596568763256,True
gaussian_process,512,last-depth,64,5,30,0.9947137197536104,0.9245450158203758,1.054564770954955,0.9212194779939503,1.0621807959945293,3.9272550866007805,3.8117623701691628,4.053546782582998,True
gaussian_process,512,last-depth,128,5,30,1.0353147182388502,0.9768428106863252,1.0866149228428439,0.9728810421086922,1.0937009991681086,3.7581008821725845,3.659498317167163,3.912129443138838,True
gaussian_process,512,unsorted,64,5,30,0.9690148469268262,0.9491288634974222,1.024221259896856,0.9369365555359574,1.0355167038645547,3.918098233640194,3.791573343798518,4.109163658693433,True
gaussian_process,512,unsorted,128,5,30,1.0266107891351293,0.9685142600747269,1.0683327385689885,0.9595544190277341,1.0780050248532724,3.813675172626972,3.6905346885323524,3.967619214206934,True
hierarchical_logistic,512,history,64,5,30,0.8711216819597767,0.8203807696878446,0.9319004072246136,0.8165339540086796,0.9364407331376772,0.47666941210627556,0.4592041950672865,0.5004213470965624,True
hierarchical_logistic,512,history,128,5,30,0.7906819114369078,0.7887153986285953,0.8217502464058736,0.7732292747830167,0.8326067554018259,0.5263165459036827,0.5103933028876781,0.5404528398066759,True
hierarchical_logistic,512,last-depth,64,5,30,0.8619219222657434,0.8355949481075526,0.89584149196611,0.8328780304178909,0.907723726265939,0.4859731085598469,0.46256630681455135,0.5075350180268288,True
hierarchical_logistic,512,last-depth,128,5,30,0.7729444061470596,0.7560486550360234,0.830457551893759,0.7459807517973082,0.8430742827184965,0.530022244900465,0.5115451291203499,0.5573931876569986,True
hierarchical_logistic,512,unsorted,64,5,30,0.8508356546880043,0.8195549333468238,0.8812103185773726,0.8124967361478328,0.8893260308658852,0.48811134323477745,0.47357759065926075,0.5092860218137503,True
hierarchical_logistic,512,unsorted,128,5,30,0.7989696338669923,0.7815426501970019,0.8355652214810647,0.7656622594409906,0.8457619987488703,0.5305141508579254,0.5053341146558523,0.5548740494996309,True
stochastic_volatility,512,history,64,5,30,0.5344546158295659,0.5177997095740708,0.5794355744662358,0.5082881502231347,0.58297703833791,0.5258301310241222,0.4957687519490719,0.5510487444698811,True
stochastic_volatility,512,history,128,5,30,0.6423147744899508,0.6122751784672377,0.6933687619451296,0.603954354299477,0.6986910405408358,0.43751558288931847,0.4125549644231796,0.4733312763273716,True
stochastic_volatility,512,last-depth,64,5,30,0.5227119994180188,0.47441648454363616,0.5693341736315969,0.4731834350889368,0.5746597257398366,0.5436738133430481,0.517018511891365,0.5663493275642395,True
