step,mean_acceptance_statistic,divergence_count,total_leapfrog_count,max_realized_tree_depth,mean_gradient_norm,max_tree_depth_hit_count
1,0.9999820590019226,0,6,2,1.4959547519683838,1
2,0.9999908804893494,0,8,2,1.4968650341033936,2
3,0.9999995231628418,0,9,2,1.496285319328308,2
4,0.9999865293502808,0,5,2,1.495763897895813,0
5,0.9999880790710449,0,5,2,1.495763897895813,0
6,0.9999936819076538,0,5,2,1.495763897895813,0
7,0.9999884963035583,0,5,2,1.4963830709457397,0
8,0.9999788403511047,0,9,2,1.4995332956314087,2
9,0.9999967217445374,0,8,2,1.4988552331924438,1
10,0.999977171421051,0,8,2,1.4978488683700562,2
11,0.9999914765357971,0,7,2,1.4952419996261597,1
12,0.9999954104423523,0,9,2,1.4960012435913086,2
