row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,0,4.783946365118027,4.783946365118027,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,1,0.4406552165746689,0.4406552165746689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,2,0.38037731498479843,0.38037731498479843,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,3,0.45840317010879517,0.45840317010879517,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,4,0.41867369413375854,0.41867369413375854,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,5,0.4614218771457672,0.4614218771457672,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,6,0.39845936745405197,0.39845936745405197,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,7,0.4637657627463341,0.4637657627463341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,8,0.42654789984226227,0.42654789984226227,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,9,0.4376004785299301,0.4376004785299301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,10,0.40481144934892654,0.40481144934892654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,11,0.43699079006910324,0.43699079006910324,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_noncentered,0,monolithic,monolithic,0,512,10,12,0.4259481728076935,0.4259481728076935,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
