model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.1901244632899761,1.0,1.1901244632899761,1.1901244632899761,1.0,30,1.060584895312786,1.134512921795249,1.1901244632899761,1.2414019517600536,5.516673177480698,"[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,,0,0.0,0.0,0,False,0.0,0.0,1.1901244632899761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,none,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.9900404177606106,0.5980403476574718,1.1901244632899761,1.9900404177606106,0.5980403476574718,30,1.728547342121601,1.8638173658400774,1.9900404177606106,2.2157162129879,4.510173439979553,"[4.510173439979553, 2.014092095196247, 2.078917510807514, 1.8536485433578491, 1.9464310184121132, 1.989554412662983, 2.201801225543022, 2.4850943982601166, 2.58591565489769, 2.528874583542347, 2.582775853574276, 1.9221851155161858, 1.7678904682397842, 1.9572551026940346, 1.7380485832691193, 1.8384870737791061, 1.8466394171118736, 2.023105025291443, 2.2203545421361923, 2.4756243526935577, 2.102121278643608, 1.9905264228582382, 1.9701162800192833, 1.9482960179448128, 2.1615983843803406, 1.7938761338591576, 1.728547342121601, 1.8124783113598824, 1.8943238332867622, 2.228400908410549]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,8,0,0.0,0.0,0,False,0.0,0.0,1.9900404177606106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,none,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.7898955419659615,0.6649128037845065,1.1901244632899761,1.7898955419659615,0.6649128037845065,30,1.5780876502394676,1.6925936173647642,1.7898955419659615,1.8460082355886698,4.191789798438549,"[4.191789798438549, 1.8905158787965775, 1.8801410347223282, 1.8623064756393433, 1.6088583916425705, 1.8120774403214455, 1.8151377066969872, 1.7303686141967773, 1.846537671983242, 1.735251322388649, 1.6567427143454552, 1.8367606699466705, 1.8817748576402664, 1.844419926404953, 1.7970296517014503, 1.6807824596762657, 1.5780876502394676, 1.8866229355335236, 1.7360473424196243, 1.7280270904302597, 1.7708096355199814, 1.7499297633767128, 1.620553858578205, 1.7827614322304726, 1.8276573568582535, 1.904805600643158, 1.6765381768345833, 1.7978558614850044, 1.6353709548711777, 1.6663775220513344]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,4,0,0.0,0.0,0,False,0.0,0.0,1.7898955419659615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.1934851743280888,0.997184119995454,1.1901244632899761,1.1934851743280888,0.997184119995454,30,1.0211472287774086,1.132212657481432,1.1934851743280888,1.2447101809084415,1.4269645810127258,"[1.074658989906311, 1.2023782432079315, 1.1319844499230385, 1.250771351158619, 1.172732137143612, 1.3934523090720177, 1.2639480233192444, 1.1727063953876495, 1.256576493382454, 1.2088512554764748, 1.171694353222847, 1.1366404220461845, 1.1304696947336197, 1.1103632375597954, 1.173567272722721, 1.2154315635561943, 1.033033475279808, 1.0211472287774086, 1.1880919858813286, 1.110735610127449, 1.1328972801566124, 1.198878362774849, 1.0757505595684052, 1.2325274869799614, 1.208811305463314, 1.2108775079250336, 1.2487710788846016, 1.4269645810127258, 1.3158886805176735, 1.3138692378997803]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,8,0,0.0,0.0,0,False,0.0,0.0,1.1934851743280888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.1808407120406628,1.0078619843935341,1.1901244632899761,1.1808407120406628,1.0078619843935341,30,1.015374019742012,1.124506739899516,1.1808407120406628,1.2255752328783274,1.3819854333996773,"[1.018990196287632, 1.1407778710126877, 1.2411853820085526, 1.015374019742012, 1.2142509371042252, 1.2008926197886467, 1.1152380406856537, 1.1646492406725883, 1.1746722310781479, 1.093487486243248, 1.2543315514922142, 1.2284206449985504, 1.2058954164385796, 1.2400908768177032, 1.2170389965176582, 1.1870091930031776, 1.0753291547298431, 1.1072783395648003, 1.193888247013092, 1.1617019698023796, 1.1307289451360703, 1.0842149406671524, 1.3819854333996773, 1.1423224061727524, 1.281714916229248, 1.1995195522904396, 1.1224326714873314, 1.2437128871679306, 1.341053232550621, 1.1462841629981995]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,4,0,0.0,0.0,0,False,0.0,0.0,1.1808407120406628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.355096336454153,0.8782581955790282,1.1901244632899761,1.355096336454153,0.8782581955790282,30,1.1152261644601822,1.2981983181089163,1.355096336454153,1.4134214892983437,1.5522687807679176,"[1.5246153771877289, 1.4751267284154892, 1.4634055197238922, 1.1477264240384102, 1.2920972108840942, 1.3360601216554642, 1.362173043191433, 1.3270910680294037, 1.35956709086895, 1.3938428238034248, 1.126817725598812, 1.3336726650595665, 1.1741772294044495, 1.1152261644601822, 1.41752128303051, 1.1567059084773064, 1.3715173155069351, 1.4208360388875008, 1.5083147957921028, 1.3165016397833824, 1.3448044806718826, 1.4445227980613708, 1.2630764096975327, 1.3506255820393562, 1.5522687807679176, 1.4011221081018448, 1.3494852781295776, 1.3786874935030937, 1.3692507147789001, 1.1976483836770058]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,8,0,0.0,0.0,0,False,0.0,0.0,1.355096336454153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.5227420143783092,0.7815667079862303,1.1901244632899761,1.5227420143783092,0.7815667079862303,30,1.255681149661541,1.444340594112873,1.5227420143783092,1.8312768209725618,2.079096920788288,"[1.3967315331101418, 1.450157880783081, 1.257970929145813, 1.382601834833622, 1.4664471819996834, 1.418651930987835, 1.5171577408909798, 1.5566371902823448, 1.4445269405841827, 1.9127956256270409, 1.8635417371988297, 1.7453774884343147, 1.5283262878656387, 1.7208600416779518, 1.4450370371341705, 1.255681149661541, 1.6614737287163734, 1.4442784786224365, 1.3451344296336174, 1.5522628426551819, 1.418614886701107, 1.4973161444067955, 1.9223983883857727, 2.079096920788288, 1.9159621968865395, 2.0170734971761703, 1.8369164615869522, 1.8652161657810211, 1.8143578991293907, 1.4558453038334846]","[5.516673177480698, 1.5464336723089218, 1.2873298302292824, 1.146246425807476, 1.126074455678463, 1.1261163130402565, 1.3017523363232613, 1.1973343789577484, 1.22721466422081, 1.197967290878296, 1.3669117912650108, 1.2144282907247543, 1.0690568834543228, 1.060584895312786, 1.1709498837590218, 1.152604602277279, 1.0969994962215424, 1.1396895945072174, 1.1560478210449219, 1.1923077777028084, 1.1879411488771439, 1.3426483049988747, 1.2575353533029556, 1.2139033898711205, 1.2461310476064682, 1.13908152282238, 1.1268511936068535, 1.213769368827343, 1.1329900547862053, 1.1328783109784126]",157928,7,8,157928,7,8,157928,7,8,4,0,0.0,0.0,0,False,0.0,0.0,1.5227420143783092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,monolithic,nuts_reference,monolithic,0,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.0153679884970188,1.0,1.0153679884970188,1.0153679884970188,1.0,30,0.8809849843382835,0.9824908152222633,1.0153679884970188,1.0773696471005678,1.2074846476316452,"[1.0656271427869797, 1.201086401939392, 1.1409782990813255, 1.0571879968047142, 0.9746675863862038, 0.9794121161103249, 0.9899927303195, 0.9914990961551666, 0.9626258090138435, 1.0592630729079247, 1.0812838152050972, 0.9266056716442108, 1.2074846476316452, 1.0855630710721016, 1.0243396908044815, 1.0144885256886482, 1.0624813586473465, 1.004240743815899, 0.8809849843382835, 1.029354251921177, 0.8905554041266441, 0.9540745839476585, 0.9816256910562515, 1.1230043321847916, 1.0921351239085197, 1.010975830256939, 1.0162474513053894, 1.1803833544254303, 0.9850861877202988, 1.0056894570589066]","[1.0656271427869797, 1.201086401939392, 1.1409782990813255, 1.0571879968047142, 0.9746675863862038, 0.9794121161103249, 0.9899927303195, 0.9914990961551666, 0.9626258090138435, 1.0592630729079247, 1.0812838152050972, 0.9266056716442108, 1.2074846476316452, 1.0855630710721016, 1.0243396908044815, 1.0144885256886482, 1.0624813586473465, 1.004240743815899, 0.8809849843382835, 1.029354251921177, 0.8905554041266441, 0.9540745839476585, 0.9816256910562515, 1.1230043321847916, 1.0921351239085197, 1.010975830256939, 1.0162474513053894, 1.1803833544254303, 0.9850861877202988, 1.0056894570589066]",154509,14,8,154509,14,8,154509,14,8,,0,0.0,0.0,0,False,0.0,0.0,1.0153679884970188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,none,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.4731967002153397,0.6892277102905544,1.0153679884970188,1.4731967002153397,0.6892277102905544,30,1.260252334177494,1.4152526799589396,1.4731967002153397,1.5756987370550632,1.805303879082203,"[1.4438170120120049, 1.468520388007164, 1.2711927443742752, 1.4360668882727623, 1.3566792383790016, 1.500029817223549, 1.7165159657597542, 1.4094546735286713, 1.6112304255366325, 1.5584062337875366, 1.805303879082203, 1.5529387444257736, 1.6432442739605904, 1.6861963123083115, 1.4326466992497444, 1.5814629048109055, 1.5820592194795609, 1.4758800119161606, 1.3460957556962967, 1.4705133885145187, 1.513829231262207, 1.6305269598960876, 1.5151101127266884, 1.3047612681984901, 1.3084622770547867, 1.3622790351510048, 1.530559778213501, 1.4582365900278091, 1.4397697299718857, 1.260252334177494]","[1.0656271427869797, 1.201086401939392, 1.1409782990813255, 1.0571879968047142, 0.9746675863862038, 0.9794121161103249, 0.9899927303195, 0.9914990961551666, 0.9626258090138435, 1.0592630729079247, 1.0812838152050972, 0.9266056716442108, 1.2074846476316452, 1.0855630710721016, 1.0243396908044815, 1.0144885256886482, 1.0624813586473465, 1.004240743815899, 0.8809849843382835, 1.029354251921177, 0.8905554041266441, 0.9540745839476585, 0.9816256910562515, 1.1230043321847916, 1.0921351239085197, 1.010975830256939, 1.0162474513053894, 1.1803833544254303, 0.9850861877202988, 1.0056894570589066]",154509,14,8,154509,14,8,154509,14,8,8,0,0.0,0.0,0,False,0.0,0.0,1.4731967002153397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,none,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.5193202532827854,0.668304122388364,1.0153679884970188,1.5193202532827854,0.668304122388364,30,1.2447724640369415,1.4439049772918224,1.5193202532827854,1.5545784793794155,1.7102704420685768,"[1.515639789402485, 1.4598673731088638, 1.3298174664378166, 1.496023289859295, 1.4411176890134811, 1.4251795783638954, 1.4121314212679863, 1.4329236969351768, 1.5549577549099922, 1.3554630279541016, 1.4522668421268463, 1.5219133123755455, 1.4808908477425575, 1.560679353773594, 1.2447724640369415, 1.5414379239082336, 1.588874876499176, 1.4384721741080284, 1.4640073031187057, 1.6679127141833305, 1.5534406527876854, 1.5740277022123337, 1.6448521986603737, 1.7102704420685768, 1.522313453257084, 1.5167271941900253, 1.531092792749405, 1.5447045266628265, 1.6304949298501015, 1.541487768292427]","[1.0656271427869797, 1.201086401939392, 1.1409782990813255, 1.0571879968047142, 0.9746675863862038, 0.9794121161103249, 0.9899927303195, 0.9914990961551666, 0.9626258090138435, 1.0592630729079247, 1.0812838152050972, 0.9266056716442108, 1.2074846476316452, 1.0855630710721016, 1.0243396908044815, 1.0144885256886482, 1.0624813586473465, 1.004240743815899, 0.8809849843382835, 1.029354251921177, 0.8905554041266441, 0.9540745839476585, 0.9816256910562515, 1.1230043321847916, 1.0921351239085197, 1.010975830256939, 1.0162474513053894, 1.1803833544254303, 0.9850861877202988, 1.0056894570589066]",154509,14,8,154509,14,8,154509,14,8,4,0,0.0,0.0,0,False,0.0,0.0,1.5193202532827854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
