row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,funnel,0,monolithic,monolithic,0,512,4,0,5.516673177480698,5.516673177480698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,1,1.5464336723089218,1.5464336723089218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,2,1.2873298302292824,1.2873298302292824,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,3,1.146246425807476,1.146246425807476,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,4,1.126074455678463,1.126074455678463,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,5,1.1261163130402565,1.1261163130402565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,6,1.3017523363232613,1.3017523363232613,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,7,1.1973343789577484,1.1973343789577484,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,8,1.22721466422081,1.22721466422081,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,9,1.197967290878296,1.197967290878296,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,10,1.3669117912650108,1.3669117912650108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,11,1.2144282907247543,1.2144282907247543,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,12,1.0690568834543228,1.0690568834543228,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,13,1.060584895312786,1.060584895312786,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,14,1.1709498837590218,1.1709498837590218,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,15,1.152604602277279,1.152604602277279,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
