model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
gaussian_process,gaussian_process,log_hyperparameters,0,monolithic,nuts_reference,monolithic,0,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.6589190512895584,1.0,3.6589190512895584,3.6589190512895584,1.0,30,3.2486650720238686,3.5763899497687817,3.6589190512895584,3.7084004022181034,22.853718638420105,"[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,,0,0.0,0.0,0,False,0.0,0.0,3.6589190512895584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,none,64,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.8550287447869778,0.9491288634974222,3.6589190512895584,3.8550287447869778,0.9491288634974222,30,3.640842854976654,3.7190860621631145,3.8550287447869778,3.986900854855776,7.457131825387478,"[7.457131825387478, 3.900670349597931, 3.88005780428648, 3.640842854976654, 3.90644633769989, 3.8299996852874756, 3.7913579121232033, 3.6527916342020035, 3.6607362031936646, 3.6913903951644897, 3.746442995965481, 3.6636557430028915, 3.669473372399807, 3.7600080519914627, 3.7729751989245415, 3.9624214842915535, 3.8274422362446785, 3.9365286827087402, 3.9192348644137383, 3.99506064504385, 4.092826075851917, 3.940863788127899, 4.320484176278114, 4.836540415883064, 5.999781474471092, 5.183199293911457, 4.717669382691383, 3.7099670842289925, 3.692704848945141, 3.823414757847786]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,8,0,0.0,0.0,0,False,0.0,0.0,3.8550287447869778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,none,128,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.7778680212795734,0.9685142600747269,3.6589190512895584,3.7778680212795734,0.9685142600747269,30,3.5234281048178673,3.662005038931966,3.7778680212795734,3.8728238586336374,7.471962504088879,"[7.471962504088879, 3.726617194712162, 3.8356548324227333, 3.8672672882676125, 3.91963117569685, 3.7446849644184113, 4.262610509991646, 4.752759546041489, 4.7339415699243546, 4.384950511157513, 3.8159268870949745, 3.6381931081414223, 3.745663844048977, 3.6901373714208603, 3.6772571578621864, 3.861260712146759, 3.79963568598032, 3.6266169622540474, 3.8047042191028595, 3.8746760487556458, 3.756100356578827, 3.7551870867609978, 3.8464629650115967, 4.481007516384125, 3.656920999288559, 3.6109056398272514, 3.5398723483085632, 3.61652971804142, 3.5234281048178673, 3.5385408103466034]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,4,0,0.0,0.0,0,False,0.0,0.0,3.7778680212795734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,history,64,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.693764016032219,0.9905665428025664,3.6589190512895584,3.693764016032219,0.9905665428025664,30,3.5542821288108826,3.659778179600835,3.693764016032219,3.787871079519391,4.059535995125771,"[3.5795211791992188, 3.6317115128040314, 3.668000638484955, 3.634841486811638, 3.77687818557024, 4.059535995125771, 3.8697729855775833, 3.630948528647423, 3.661179192364216, 3.6593111753463745, 3.7682691141963005, 3.8433552905917168, 3.767349034547806, 3.71401409804821, 3.5542821288108826, 3.700487293303013, 3.6633406654000282, 3.6828190311789513, 3.7280873879790306, 3.860155366361141, 3.687040738761425, 3.9020154923200607, 3.6761283725500107, 3.668620817363262, 3.6338860914111137, 3.597175531089306, 3.7044802233576775, 3.7915353775024414, 3.852541759610176, 3.8331020176410675]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,8,0,0.0,0.0,0,False,0.0,0.0,3.693764016032219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,history,128,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.9572527669370174,0.9246109022552091,3.6589190512895584,3.9572527669370174,0.9246109022552091,30,3.5630724728107452,3.7945513762533665,3.9572527669370174,4.324664015322924,5.3284251019358635,"[3.6662250831723213, 4.055543050169945, 3.599015712738037, 3.5630724728107452, 3.5895020216703415, 3.5976507514715195, 3.793456941843033, 4.3327586725354195, 4.004438728094101, 3.9616596028208733, 4.488412253558636, 4.424754478037357, 3.8327422738075256, 4.21024314314127, 5.3284251019358635, 4.300380043685436, 4.5250352919101715, 4.547875493764877, 4.500892110168934, 4.594053722918034, 3.989251032471657, 3.783852867782116, 3.7783441618084908, 3.865714393556118, 3.8231862485408783, 4.135290637612343, 3.865763835608959, 3.7978346794843674, 3.9528459310531616, 3.836480639874935]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,4,0,0.0,0.0,0,False,0.0,0.0,3.9572527669370174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,last_depth,64,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.9575347751379013,0.9245450158203758,3.6589190512895584,3.9575347751379013,0.9245450158203758,30,3.728042133152485,3.842946680262685,3.9575347751379013,4.078158352524042,4.3671823143959045,"[3.9031840190291405, 3.8815830424427986, 3.7672373354434967, 3.8489754423499107, 3.978763520717621, 4.05678927898407, 4.136331610381603, 4.000528559088707, 4.0831614807248116, 3.840937092900276, 3.753288969397545, 4.040524400770664, 4.3671823143959045, 4.032965764403343, 3.728042133152485, 3.8352380841970444, 3.830142691731453, 4.034588687121868, 4.127823024988174, 4.063148967921734, 3.79778178781271, 4.085606977343559, 4.319592632353306, 4.11777338385582, 4.14636766910553, 3.894778661429882, 3.8883919790387154, 3.837436892092228, 3.9363060295581818, 3.87009909003973]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,8,0,0.0,0.0,0,False,0.0,0.0,3.9575347751379013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,last_depth,128,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.7456579618155956,0.9768428106863252,3.6589190512895584,3.7456579618155956,0.9768428106863252,30,3.5280070826411247,3.6736886594444513,3.7456579618155956,3.9134052600711584,4.239463105797768,"[4.211828328669071, 3.853238023817539, 3.744586080312729, 3.895646445453167, 3.7367042750120163, 3.6881050392985344, 3.9064162895083427, 3.7975007221102715, 3.8081062361598015, 4.004825063049793, 3.9617753624916077, 3.7345807552337646, 4.206527851521969, 3.98856034129858, 3.9157349169254303, 3.607689432799816, 3.6817695572972298, 4.239463105797768, 3.6963893100619316, 3.810742385685444, 3.5398950800299644, 3.7467298433184624, 4.013393081724644, 3.7363963797688484, 3.6326930448412895, 3.6201730519533157, 3.5360683500766754, 3.6709950268268585, 3.5280070826411247, 3.5282162725925446]","[22.853718638420105, 4.382054321467876, 3.3968698754906654, 3.424249090254307, 3.2486650720238686, 3.710359774529934, 3.738581322133541, 3.6592943221330643, 3.6746280044317245, 3.6899296417832375, 3.6540850400924683, 3.6484180837869644, 3.6531287655234337, 3.6463629081845284, 3.6698237657546997, 3.7705836445093155, 3.702522285282612, 3.566666468977928, 3.5373875200748444, 4.098819449543953, 3.7127795293927193, 3.605560392141342, 3.676087774336338, 3.6585437804460526, 3.6854527592658997, 3.528969593346119, 3.6074571311473846, 3.880953848361969, 3.553792953491211, 3.370123617351055]",62759,75,6,62759,75,6,62759,75,6,4,0,0.0,0.0,0,False,0.0,0.0,3.7456579618155956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,monolithic,nuts_reference,monolithic,0,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.945560973137617,1.0,3.945560973137617,3.945560973137617,1.0,30,3.8131263852119446,3.863549992442131,3.945560973137617,4.050108198076487,4.655446745455265,"[3.9854953438043594, 3.9335702136158943, 3.817336581647396, 3.873087927699089, 3.8131263852119446, 3.985948368906975, 4.005892664194107, 3.9767238721251488, 4.242081694304943, 3.831130214035511, 3.8417512699961662, 3.8188169673085213, 3.8382358625531197, 3.8951331079006195, 3.8323397040367126, 3.8603706806898117, 4.0760857462883, 3.897144816815853, 3.961218498647213, 4.163493111729622, 4.129930198192596, 4.655446745455265, 4.1106676533818245, 4.056847229599953, 3.952895648777485, 4.09684419631958, 3.9382262974977493, 3.8831521943211555, 3.9136889651417732, 4.029891103506088]","[3.9854953438043594, 3.9335702136158943, 3.817336581647396, 3.873087927699089, 3.8131263852119446, 3.985948368906975, 4.005892664194107, 3.9767238721251488, 4.242081694304943, 3.831130214035511, 3.8417512699961662, 3.8188169673085213, 3.8382358625531197, 3.8951331079006195, 3.8323397040367126, 3.8603706806898117, 4.0760857462883, 3.897144816815853, 3.961218498647213, 4.163493111729622, 4.129930198192596, 4.655446745455265, 4.1106676533818245, 4.056847229599953, 3.952895648777485, 4.09684419631958, 3.9382262974977493, 3.8831521943211555, 3.9136889651417732, 4.029891103506088]",62943,62,6,62943,62,6,62943,62,6,,0,0.0,0.0,0,False,0.0,0.0,3.945560973137617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,bucketed,bucketed_nuts,none,64,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.912317220121622,1.0084972028456736,3.945560973137617,3.912317220121622,1.0084972028456736,30,3.6055738478899,3.7295670434832573,3.912317220121622,4.050609726458788,7.303439974784851,"[4.299410559237003, 3.7565374076366425, 3.86237770318985, 4.002378448843956, 3.886788636445999, 3.9737982526421547, 3.9265638068318367, 4.043383322656155, 4.5133957862854, 3.8980706334114075, 3.9657448083162308, 4.088699132204056, 4.052739351987839, 3.995218612253666, 5.294187113642693, 7.303439974784851, 4.044220849871635, 3.755056567490101, 3.795205220580101, 3.835882805287838, 3.6866209506988525, 4.341944120824337, 4.240884140133858, 3.686844877898693, 3.6055738478899, 3.656307615339756, 3.721070535480976, 3.6414811462163925, 3.662728115916252, 3.637047201395035]","[3.9854953438043594, 3.9335702136158943, 3.817336581647396, 3.873087927699089, 3.8131263852119446, 3.985948368906975, 4.005892664194107, 3.9767238721251488, 4.242081694304943, 3.831130214035511, 3.8417512699961662, 3.8188169673085213, 3.8382358625531197, 3.8951331079006195, 3.8323397040367126, 3.8603706806898117, 4.0760857462883, 3.897144816815853, 3.961218498647213, 4.163493111729622, 4.129930198192596, 4.655446745455265, 4.1106676533818245, 4.056847229599953, 3.952895648777485, 4.09684419631958, 3.9382262974977493, 3.8831521943211555, 3.9136889651417732, 4.029891103506088]",62943,62,6,62943,62,6,62943,62,6,8,0,0.0,0.0,0,False,0.0,0.0,3.912317220121622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,bucketed,bucketed_nuts,none,128,512,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,3.8432880453765392,1.0266107891351293,3.945560973137617,3.8432880453765392,1.0266107891351293,30,3.5632552206516266,3.6617329455912113,3.8432880453765392,4.005504515022039,4.665899619460106,"[3.5632552206516266, 3.6346604600548744, 3.596666894853115, 3.6666589230298996, 3.6682620272040367, 3.8133191987872124, 3.7122094705700874, 4.016896985471249, 4.665899619460106, 3.648044541478157, 3.6445174366235733, 3.641012765467167, 3.601620391011238, 3.6600909531116486, 3.752739779651165, 3.851771079003811, 4.418177507817745, 3.8666463643312454, 3.963340789079666, 4.1129394844174385, 4.113682799041271, 3.797903724014759, 3.9050577133893967, 4.249976083636284, 4.038517944514751, 4.020332559943199, 3.9713271036744118, 3.9436332881450653, 3.8486393243074417, 3.8379367664456367]","[3.9854953438043594, 3.9335702136158943, 3.817336581647396, 3.873087927699089, 3.8131263852119446, 3.985948368906975, 4.005892664194107, 3.9767238721251488, 4.242081694304943, 3.831130214035511, 3.8417512699961662, 3.8188169673085213, 3.8382358625531197, 3.8951331079006195, 3.8323397040367126, 3.8603706806898117, 4.0760857462883, 3.897144816815853, 3.961218498647213, 4.163493111729622, 4.129930198192596, 4.655446745455265, 4.1106676533818245, 4.056847229599953, 3.952895648777485, 4.09684419631958, 3.9382262974977493, 3.8831521943211555, 3.9136889651417732, 4.029891103506088]",62943,62,6,62943,62,6,62943,62,6,4,0,0.0,0.0,0,False,0.0,0.0,3.8432880453765392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
