row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,gaussian_process,0,monolithic,monolithic,0,512,3,0,22.853718638420105,22.853718638420105,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,1,4.382054321467876,4.382054321467876,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,2,3.3968698754906654,3.3968698754906654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,3,3.424249090254307,3.424249090254307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,4,3.2486650720238686,3.2486650720238686,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,5,3.710359774529934,3.710359774529934,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,6,3.738581322133541,3.738581322133541,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,7,3.6592943221330643,3.6592943221330643,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,8,3.6746280044317245,3.6746280044317245,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,9,3.6899296417832375,3.6899296417832375,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,10,3.6540850400924683,3.6540850400924683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,11,3.6484180837869644,3.6484180837869644,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,12,3.6531287655234337,3.6531287655234337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,13,3.6463629081845284,3.6463629081845284,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,14,3.6698237657546997,3.6698237657546997,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,15,3.7705836445093155,3.7705836445093155,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,16,3.702522285282612,3.702522285282612,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,17,3.566666468977928,3.566666468977928,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,18,3.5373875200748444,3.5373875200748444,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,19,4.098819449543953,4.098819449543953,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,20,3.7127795293927193,3.7127795293927193,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,21,3.605560392141342,3.605560392141342,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,22,3.676087774336338,3.676087774336338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,23,3.6585437804460526,3.6585437804460526,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
