row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,0,5.764811716973782,5.764811716973782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,1,0.4543246030807495,0.4543246030807495,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,2,0.42522673308849335,0.42522673308849335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,3,0.3914412707090378,0.3914412707090378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,4,0.4041844829916954,0.4041844829916954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,5,0.372003436088562,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,6,0.37329865247011185,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,7,0.39223887026309967,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,8,0.40269316732883453,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,9,0.44710562378168106,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,10,0.39853040874004364,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,11,0.37792593985795975,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,12,0.3923467695713043,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,13,0.4180985987186432,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,14,0.4086679667234421,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,15,0.3825620263814926,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,16,0.390786275267601,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,17,0.43980687111616135,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,18,0.45451363921165466,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,19,0.4304448217153549,0.4304448217153549,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,20,0.3850673586130142,0.3850673586130142,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,21,0.4614995867013931,0.4614995867013931,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,22,0.42946500331163406,0.42946500331163406,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,23,0.41105320304632187,0.41105320304632187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,24,0.46868230402469635,0.46868230402469635,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,25,0.46455902606248856,0.46455902606248856,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,26,0.40300196409225464,0.40300196409225464,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,27,0.408950999379158,0.408950999379158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,28,0.4499886706471443,0.4499886706471443,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,29,0.4151429757475853,0.4151429757475853,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,0,3.5672662332654,5.764811716973782,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,1,0.48573148250579834,0.4543246030807495,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,2,0.4883204847574234,0.42522673308849335,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,3,0.4513588920235634,0.3914412707090378,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,4,0.4747603237628937,0.4041844829916954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,5,0.4446152225136757,0.372003436088562,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,6,0.4541151896119118,0.37329865247011185,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,7,0.47306761145591736,0.39223887026309967,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,8,0.4577358216047287,0.40269316732883453,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,9,0.5236403793096542,0.44710562378168106,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,10,0.4862043187022209,0.39853040874004364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,11,0.5109209194779396,0.37792593985795975,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,12,0.4424637630581856,0.3923467695713043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,13,0.5062449350953102,0.4180985987186432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,14,0.4696791395545006,0.4086679667234421,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,15,0.467837393283844,0.3825620263814926,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,16,0.4652179926633835,0.390786275267601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,17,0.4533582180738449,0.43980687111616135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,18,0.48510778695344925,0.45451363921165466,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
