model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.41130413115024567,1.0,0.41130413115024567,0.41130413115024567,1.0,30,0.3547256290912628,0.39305090717971325,0.41130413115024567,0.43498142436146736,3.8272049874067307,"[3.8272049874067307, 0.41989999264478683, 0.4161922112107277, 0.4243306741118431, 0.4902585968375206, 0.4458199292421341, 0.4322126805782318, 0.4669584110379219, 0.4399724677205086, 0.4015827924013138, 0.40583763271570206, 0.4465572312474251, 0.41323989629745483, 0.37846144288778305, 0.3547256290912628, 0.36726294457912445, 0.3849094286561012, 0.3881619721651077, 0.3919840678572655, 0.4384659230709076, 0.41566649824380875, 0.3698255270719528, 0.4288349971175194, 0.3962514251470566, 0.3916432783007622, 0.4359043389558792, 0.40164392441511154, 0.408945195376873, 0.396708182990551, 0.4093683660030365]","[3.8272049874067307, 0.41989999264478683, 0.4161922112107277, 0.4243306741118431, 0.4902585968375206, 0.4458199292421341, 0.4322126805782318, 0.4669584110379219, 0.4399724677205086, 0.4015827924013138, 0.40583763271570206, 0.4465572312474251, 0.41323989629745483, 0.37846144288778305, 0.3547256290912628, 0.36726294457912445, 0.3849094286561012, 0.3881619721651077, 0.3919840678572655, 0.4384659230709076, 0.41566649824380875, 0.3698255270719528, 0.4288349971175194, 0.3962514251470566, 0.3916432783007622, 0.4359043389558792, 0.40164392441511154, 0.408945195376873, 0.396708182990551, 0.4093683660030365]",39648,2,8,39648,2,8,39648,2,8,,0,0.0,0.0,0,False,0.0,0.0,0.41130413115024567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.45360421761870384,0.9067467081974637,0.41130413115024567,0.45360421761870384,0.9067467081974637,30,0.3506971672177315,0.42855656147003174,0.45360421761870384,0.47534308210015297,2.896979622542858,"[2.896979622542858, 0.4787983298301697, 0.4638855457305908, 0.44772250205278397, 0.4910481572151184, 0.437028244137764, 0.471380352973938, 0.413815513253212, 0.4766639918088913, 0.4702337682247162, 0.44739215075969696, 0.46508121490478516, 0.5126010179519653, 0.4968699663877487, 0.501067504286766, 0.4679785296320915, 0.41064363718032837, 0.5533338338136673, 0.39587291330099106, 0.4129762277007103, 0.4510273039340973, 0.42667102813720703, 0.43421316146850586, 0.4561811313033104, 0.45801109820604324, 0.4496896117925644, 0.3506971672177315, 0.40465252101421356, 0.43512485176324844, 0.4191327691078186]","[3.8272049874067307, 0.41989999264478683, 0.4161922112107277, 0.4243306741118431, 0.4902585968375206, 0.4458199292421341, 0.4322126805782318, 0.4669584110379219, 0.4399724677205086, 0.4015827924013138, 0.40583763271570206, 0.4465572312474251, 0.41323989629745483, 0.37846144288778305, 0.3547256290912628, 0.36726294457912445, 0.3849094286561012, 0.3881619721651077, 0.3919840678572655, 0.4384659230709076, 0.41566649824380875, 0.3698255270719528, 0.4288349971175194, 0.3962514251470566, 0.3916432783007622, 0.4359043389558792, 0.40164392441511154, 0.408945195376873, 0.396708182990551, 0.4093683660030365]",39648,2,8,39648,2,8,39648,2,8,2,0,0.0,0.0,0,False,0.0,0.0,0.45360421761870384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5274110026657581,0.7798550448726719,0.41130413115024567,0.5274110026657581,0.7798550448726719,30,0.4615306481719017,0.5061573013663292,0.5274110026657581,0.561014736071229,2.742673970758915,"[2.742673970758915, 0.5429673492908478, 0.4753040745854378, 0.5493659228086472, 0.5805553272366524, 0.6038531139492989, 0.641171433031559, 0.5625064224004745, 0.601531594991684, 0.5196929275989532, 0.5051908940076828, 0.5156608894467354, 0.5565396770834923, 0.6025412455201149, 0.5411285012960434, 0.6215291544795036, 0.5155755579471588, 0.4866570606827736, 0.5022702813148499, 0.4615306481719017, 0.5165817216038704, 0.5208242014050484, 0.5030508562922478, 0.48134327679872513, 0.5167545154690742, 0.5529149025678635, 0.5000504106283188, 0.5466533005237579, 0.5090565234422684, 0.5339978039264679]","[3.8272049874067307, 0.41989999264478683, 0.4161922112107277, 0.4243306741118431, 0.4902585968375206, 0.4458199292421341, 0.4322126805782318, 0.4669584110379219, 0.4399724677205086, 0.4015827924013138, 0.40583763271570206, 0.4465572312474251, 0.41323989629745483, 0.37846144288778305, 0.3547256290912628, 0.36726294457912445, 0.3849094286561012, 0.3881619721651077, 0.3919840678572655, 0.4384659230709076, 0.41566649824380875, 0.3698255270719528, 0.4288349971175194, 0.3962514251470566, 0.3916432783007622, 0.4359043389558792, 0.40164392441511154, 0.408945195376873, 0.396708182990551, 0.4093683660030365]",39648,2,8,39648,2,8,39648,2,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5274110026657581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.47520213574171066,0.8655351064621565,0.41130413115024567,0.47520213574171066,0.8655351064621565,30,0.41522135585546494,0.4444819111377001,0.47520213574171066,0.5024078916758299,0.5297300890088081,"[0.5001992955803871, 0.4727795645594597, 0.4775550290942192, 0.42813690751791, 0.44997523725032806, 0.5245087891817093, 0.41522135585546494, 0.4728492423892021, 0.5028332769870758, 0.4961746335029602, 0.4680298715829849, 0.4369269013404846, 0.5093320608139038, 0.5297300890088081, 0.43527351319789886, 0.4544527307152748, 0.4295918121933937, 0.44265080243349075, 0.4945370480418205, 0.47850582748651505, 0.45413465052843094, 0.503970555961132, 0.4297746643424034, 0.5272718444466591, 0.5261936187744141, 0.5155953243374825, 0.4611841142177582, 0.5011317357420921, 0.4992801919579506, 0.44010355323553085]","[3.8272049874067307, 0.41989999264478683, 0.4161922112107277, 0.4243306741118431, 0.4902585968375206, 0.4458199292421341, 0.4322126805782318, 0.4669584110379219, 0.4399724677205086, 0.4015827924013138, 0.40583763271570206, 0.4465572312474251, 0.41323989629745483, 0.37846144288778305, 0.3547256290912628, 0.36726294457912445, 0.3849094286561012, 0.3881619721651077, 0.3919840678572655, 0.4384659230709076, 0.41566649824380875, 0.3698255270719528, 0.4288349971175194, 0.3962514251470566, 0.3916432783007622, 0.4359043389558792, 0.40164392441511154, 0.408945195376873, 0.396708182990551, 0.4093683660030365]",39648,2,8,39648,2,8,39648,2,8,2,0,0.0,0.0,0,False,0.0,0.0,0.47520213574171066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5140914767980576,0.8000602027327751,0.41130413115024567,0.5140914767980576,0.8000602027327751,30,0.4353739991784096,0.48210868053138256,0.5140914767980576,0.5416987705975771,0.5814312323927879,"[0.5224027261137962, 0.47893141210079193, 0.4933100491762161, 0.4505995884537697, 0.48920153826475143, 0.5246981680393219, 0.5769096463918686, 0.5572788491845131, 0.5738303363323212, 0.55296491086483, 0.5442689880728722, 0.5059440732002258, 0.5673728808760643, 0.5814312323927879, 0.5366724729537964, 0.5331382229924202, 0.5168196707963943, 0.4353739991784096, 0.4814637526869774, 0.44653089344501495, 0.4887387081980705, 0.43729646503925323, 0.45918378978967667, 0.4523165374994278, 0.4840434640645981, 0.5113632827997208, 0.5340930745005608, 0.48822735249996185, 0.543374203145504, 0.5331554040312767]","[3.8272049874067307, 0.41989999264478683, 0.4161922112107277, 0.4243306741118431, 0.4902585968375206, 0.4458199292421341, 0.4322126805782318, 0.4669584110379219, 0.4399724677205086, 0.4015827924013138, 0.40583763271570206, 0.4465572312474251, 0.41323989629745483, 0.37846144288778305, 0.3547256290912628, 0.36726294457912445, 0.3849094286561012, 0.3881619721651077, 0.3919840678572655, 0.4384659230709076, 0.41566649824380875, 0.3698255270719528, 0.4288349971175194, 0.3962514251470566, 0.3916432783007622, 0.4359043389558792, 0.40164392441511154, 0.408945195376873, 0.396708182990551, 0.4093683660030365]",39648,2,8,39648,2,8,39648,2,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5140914767980576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,monolithic,nuts_reference,monolithic,0,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.4377902261912823,1.0,0.4377902261912823,0.4377902261912823,1.0,30,0.37986578792333603,0.4175748098641634,0.4377902261912823,0.458688011392951,0.5622604712843895,"[0.4413842484354973, 0.4195825606584549, 0.42048612982034683, 0.37986578792333603, 0.42153624445199966, 0.4822574555873871, 0.43351960927248, 0.4685361608862877, 0.44139494746923447, 0.4111144319176674, 0.3943505734205246, 0.43762315809726715, 0.44406359642744064, 0.40129435807466507, 0.4622840881347656, 0.5622604712843895, 0.48680395632982254, 0.4081043526530266, 0.41370493173599243, 0.439172625541687, 0.47403301298618317, 0.4379572942852974, 0.44789978116750717, 0.4786277189850807, 0.40877941995859146, 0.41690555959939957, 0.4340524673461914, 0.47211674600839615, 0.4227541759610176, 0.4387856498360634]","[0.4413842484354973, 0.4195825606584549, 0.42048612982034683, 0.37986578792333603, 0.42153624445199966, 0.4822574555873871, 0.43351960927248, 0.4685361608862877, 0.44139494746923447, 0.4111144319176674, 0.3943505734205246, 0.43762315809726715, 0.44406359642744064, 0.40129435807466507, 0.4622840881347656, 0.5622604712843895, 0.48680395632982254, 0.4081043526530266, 0.41370493173599243, 0.439172625541687, 0.47403301298618317, 0.4379572942852974, 0.44789978116750717, 0.4786277189850807, 0.40877941995859146, 0.41690555959939957, 0.4340524673461914, 0.47211674600839615, 0.4227541759610176, 0.4387856498360634]",39366,1,8,39366,1,8,39366,1,8,,0,0.0,0.0,0,False,0.0,0.0,0.4377902261912823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,history,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.4784104935824871,0.9150932767234523,0.4377902261912823,0.4784104935824871,0.9150932767234523,30,0.3764013350009918,0.4478649441152811,0.4784104935824871,0.5117335170507431,0.606110118329525,"[0.5548826903104782, 0.5286921337246895, 0.541409932076931, 0.606110118329525, 0.5158214867115021, 0.46803057193756104, 0.5060166344046593, 0.4319463446736336, 0.5603750646114349, 0.4462876319885254, 0.49409107863903046, 0.5066419020295143, 0.46864721179008484, 0.5134307220578194, 0.45900852233171463, 0.5002081617712975, 0.4887229725718498, 0.5009809583425522, 0.41447795182466507, 0.5246638506650925, 0.45259688049554825, 0.3897560313344002, 0.4644249528646469, 0.4291110932826996, 0.4679717421531677, 0.4531485363841057, 0.4881737753748894, 0.3868894949555397, 0.3764013350009918, 0.4079013019800186]","[0.4413842484354973, 0.4195825606584549, 0.42048612982034683, 0.37986578792333603, 0.42153624445199966, 0.4822574555873871, 0.43351960927248, 0.4685361608862877, 0.44139494746923447, 0.4111144319176674, 0.3943505734205246, 0.43762315809726715, 0.44406359642744064, 0.40129435807466507, 0.4622840881347656, 0.5622604712843895, 0.48680395632982254, 0.4081043526530266, 0.41370493173599243, 0.439172625541687, 0.47403301298618317, 0.4379572942852974, 0.44789978116750717, 0.4786277189850807, 0.40877941995859146, 0.41690555959939957, 0.4340524673461914, 0.47211674600839615, 0.4227541759610176, 0.4387856498360634]",39366,1,8,39366,1,8,39366,1,8,2,0,0.0,0.0,0,False,0.0,0.0,0.4784104935824871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,history,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5440711937844753,0.8046561391094444,0.4377902261912823,0.5440711937844753,0.8046561391094444,30,0.4533991664648056,0.5310210939496756,0.5440711937844753,0.57486816868186,0.6594532057642937,"[0.5529049038887024, 0.5439231172204018, 0.5955398976802826, 0.5483560785651207, 0.5340188518166542, 0.5246905758976936, 0.5107953399419785, 0.5162195041775703, 0.5308894217014313, 0.5197150856256485, 0.560689203441143, 0.6402522325515747, 0.5951868519186974, 0.6594532057642937, 0.5759258046746254, 0.5391203016042709, 0.5633503943681717, 0.48891090601682663, 0.5467386469244957, 0.5753691717982292, 0.5733651593327522, 0.5211716964840889, 0.5442192703485489, 0.5314161106944084, 0.5398016646504402, 0.4533991664648056, 0.5318751558661461, 0.540695883333683, 0.5755295008420944, 0.6187264770269394]","[0.4413842484354973, 0.4195825606584549, 0.42048612982034683, 0.37986578792333603, 0.42153624445199966, 0.4822574555873871, 0.43351960927248, 0.4685361608862877, 0.44139494746923447, 0.4111144319176674, 0.3943505734205246, 0.43762315809726715, 0.44406359642744064, 0.40129435807466507, 0.4622840881347656, 0.5622604712843895, 0.48680395632982254, 0.4081043526530266, 0.41370493173599243, 0.439172625541687, 0.47403301298618317, 0.4379572942852974, 0.44789978116750717, 0.4786277189850807, 0.40877941995859146, 0.41690555959939957, 0.4340524673461914, 0.47211674600839615, 0.4227541759610176, 0.4387856498360634]",39366,1,8,39366,1,8,39366,1,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5440711937844753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,last_depth,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.4783935956656933,0.9151255998360289,0.4377902261912823,0.4783935956656933,0.9151255998360289,30,0.39796289056539536,0.4511227197945118,0.4783935956656933,0.5103405173867941,0.561737634241581,"[0.5560159608721733, 0.4390353858470917, 0.44084852933883667, 0.4758996143937111, 0.4901758283376694, 0.48653752356767654, 0.4808875769376755, 0.524972602725029, 0.5292790681123734, 0.49381979554891586, 0.4560052752494812, 0.43559279292821884, 0.46951454877853394, 0.4651948884129524, 0.43586114048957825, 0.4507036507129669, 0.4692394882440567, 0.4499235451221466, 0.5105712413787842, 0.49431876093149185, 0.5391541719436646, 0.561737634241581, 0.46889498084783554, 0.5142417401075363, 0.5096483454108238, 0.4523799270391464, 0.39796289056539536, 0.44084323942661285, 0.5262262970209122, 0.4890771359205246]","[0.4413842484354973, 0.4195825606584549, 0.42048612982034683, 0.37986578792333603, 0.42153624445199966, 0.4822574555873871, 0.43351960927248, 0.4685361608862877, 0.44139494746923447, 0.4111144319176674, 0.3943505734205246, 0.43762315809726715, 0.44406359642744064, 0.40129435807466507, 0.4622840881347656, 0.5622604712843895, 0.48680395632982254, 0.4081043526530266, 0.41370493173599243, 0.439172625541687, 0.47403301298618317, 0.4379572942852974, 0.44789978116750717, 0.4786277189850807, 0.40877941995859146, 0.41690555959939957, 0.4340524673461914, 0.47211674600839615, 0.4227541759610176, 0.4387856498360634]",39366,1,8,39366,1,8,39366,1,8,2,0,0.0,0.0,0,False,0.0,0.0,0.4783935956656933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,last_depth,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5716429948806763,0.7658455191647469,0.4377902261912823,0.5716429948806763,0.7658455191647469,30,0.482847236096859,0.5541971884667873,0.5716429948806763,0.5986252091825008,0.6640753522515297,"[0.5737542062997818, 0.5567626357078552, 0.5915653109550476, 0.5355376675724983, 0.5386966615915298, 0.5667253285646439, 0.5538531765341759, 0.6047092378139496, 0.6352044641971588, 0.6334702968597412, 0.5983184203505516, 0.6640753522515297, 0.6486768200993538, 0.5892437249422073, 0.5888170078396797, 0.5552292242646217, 0.6038018763065338, 0.572232723236084, 0.482847236096859, 0.4854218363761902, 0.5218195095658302, 0.5007311329245567, 0.5559474900364876, 0.5609212517738342, 0.5422363728284836, 0.5647520497441292, 0.5710532665252686, 0.6090365648269653, 0.5764692649245262, 0.5987274721264839]","[0.4413842484354973, 0.4195825606584549, 0.42048612982034683, 0.37986578792333603, 0.42153624445199966, 0.4822574555873871, 0.43351960927248, 0.4685361608862877, 0.44139494746923447, 0.4111144319176674, 0.3943505734205246, 0.43762315809726715, 0.44406359642744064, 0.40129435807466507, 0.4622840881347656, 0.5622604712843895, 0.48680395632982254, 0.4081043526530266, 0.41370493173599243, 0.439172625541687, 0.47403301298618317, 0.4379572942852974, 0.44789978116750717, 0.4786277189850807, 0.40877941995859146, 0.41690555959939957, 0.4340524673461914, 0.47211674600839615, 0.4227541759610176, 0.4387856498360634]",39366,1,8,39366,1,8,39366,1,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5716429948806763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
