row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,funnel,0,monolithic,monolithic,0,128,4,0,3.8272049874067307,3.8272049874067307,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,1,0.41989999264478683,0.41989999264478683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,2,0.4161922112107277,0.4161922112107277,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,3,0.4243306741118431,0.4243306741118431,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,4,0.4902585968375206,0.4902585968375206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,5,0.4458199292421341,0.4458199292421341,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,6,0.4322126805782318,0.4322126805782318,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,7,0.4669584110379219,0.4669584110379219,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,8,0.4399724677205086,0.4399724677205086,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,9,0.4015827924013138,0.4015827924013138,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,10,0.40583763271570206,0.40583763271570206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,11,0.4465572312474251,0.4465572312474251,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,12,0.41323989629745483,0.41323989629745483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
