model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
gaussian_process,gaussian_process,log_hyperparameters,0,monolithic,nuts_reference,monolithic,0,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.0620561391115189,1.0,1.0620561391115189,1.0620561391115189,1.0,30,0.9786069095134735,1.024097902700305,1.0620561391115189,1.3218946028500795,8.343025624752045,"[8.343025624752045, 1.0349181070923805, 1.0342176631093025, 1.022750549018383, 1.0418507531285286, 1.1734895929694176, 1.0069474801421165, 1.0029423609375954, 1.0851334184408188, 1.104401983320713, 1.1787292584776878, 1.0013150796294212, 0.9786069095134735, 0.9891222342848778, 0.9829054549336433, 1.033159926533699, 0.9949937835335732, 1.0664179995656013, 1.0281399637460709, 1.0576942786574364, 1.0664658099412918, 1.0486339032649994, 1.2421237230300903, 1.5331960022449493, 1.5058633163571358, 1.5574325323104858, 1.6070866212248802, 1.3992551490664482, 1.3484848961234093, 1.5121919065713882]","[8.343025624752045, 1.0349181070923805, 1.0342176631093025, 1.022750549018383, 1.0418507531285286, 1.1734895929694176, 1.0069474801421165, 1.0029423609375954, 1.0851334184408188, 1.104401983320713, 1.1787292584776878, 1.0013150796294212, 0.9786069095134735, 0.9891222342848778, 0.9829054549336433, 1.033159926533699, 0.9949937835335732, 1.0664179995656013, 1.0281399637460709, 1.0576942786574364, 1.0664658099412918, 1.0486339032649994, 1.2421237230300903, 1.5331960022449493, 1.5058633163571358, 1.5574325323104858, 1.6070866212248802, 1.3992551490664482, 1.3484848961234093, 1.5121919065713882]",15905,19,6,15905,19,6,15905,19,6,,0,0.0,0.0,0,False,0.0,0.0,1.0620561391115189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,history,64,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.1285757943987846,0.9410587613012716,1.0620561391115189,1.1285757943987846,0.9410587613012716,30,1.0566249787807465,1.1048353407531977,1.1285757943987846,1.1499966848641634,5.785283863544464,"[5.785283863544464, 1.1402459666132927, 1.1341710463166237, 1.1215173602104187, 1.2907059863209724, 1.1496754959225655, 1.1211547255516052, 1.1142319589853287, 1.1275252476334572, 1.1378447785973549, 1.15036953240633, 1.1850740909576416, 1.163994699716568, 1.0844463780522346, 1.1401143074035645, 1.0800982415676117, 1.1572185903787613, 1.0961531326174736, 1.0861762762069702, 1.1045688018202782, 1.0566249787807465, 1.129626341164112, 1.1265989243984222, 1.229623794555664, 1.1202711015939713, 1.150103747844696, 1.1056349575519562, 1.075948841869831, 1.084589160978794, 1.1301135048270226]","[8.343025624752045, 1.0349181070923805, 1.0342176631093025, 1.022750549018383, 1.0418507531285286, 1.1734895929694176, 1.0069474801421165, 1.0029423609375954, 1.0851334184408188, 1.104401983320713, 1.1787292584776878, 1.0013150796294212, 0.9786069095134735, 0.9891222342848778, 0.9829054549336433, 1.033159926533699, 0.9949937835335732, 1.0664179995656013, 1.0281399637460709, 1.0576942786574364, 1.0664658099412918, 1.0486339032649994, 1.2421237230300903, 1.5331960022449493, 1.5058633163571358, 1.5574325323104858, 1.6070866212248802, 1.3992551490664482, 1.3484848961234093, 1.5121919065713882]",15905,19,6,15905,19,6,15905,19,6,2,0,0.0,0.0,0,False,0.0,0.0,1.1285757943987846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,history,128,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.103069018572569,0.9628192989101235,1.0620561391115189,1.103069018572569,0.9628192989101235,30,1.055099494755268,1.075798062607646,1.103069018572569,1.189461063593626,4.562394306063652,"[4.562394306063652, 1.0677392482757568, 1.0744555667042732, 1.0686727315187454, 1.0798255503177643, 1.0670782625675201, 1.0992450639605522, 1.059768207371235, 1.055099494755268, 1.1059082970023155, 1.0971532091498375, 1.1002297401428223, 1.0983058214187622, 1.1482739299535751, 1.2135579586029053, 1.1192800998687744, 1.1644041687250137, 1.3890544772148132, 1.2724849730730057, 1.2711126729846, 1.260783314704895, 1.2154642418026924, 1.1978133618831635, 1.095432110130787, 1.1393637359142303, 1.1252391263842583, 1.0615945905447006, 1.0873329117894173, 1.0592424497008324, 1.1115892305970192]","[8.343025624752045, 1.0349181070923805, 1.0342176631093025, 1.022750549018383, 1.0418507531285286, 1.1734895929694176, 1.0069474801421165, 1.0029423609375954, 1.0851334184408188, 1.104401983320713, 1.1787292584776878, 1.0013150796294212, 0.9786069095134735, 0.9891222342848778, 0.9829054549336433, 1.033159926533699, 0.9949937835335732, 1.0664179995656013, 1.0281399637460709, 1.0576942786574364, 1.0664658099412918, 1.0486339032649994, 1.2421237230300903, 1.5331960022449493, 1.5058633163571358, 1.5574325323104858, 1.6070866212248802, 1.3992551490664482, 1.3484848961234093, 1.5121919065713882]",15905,19,6,15905,19,6,15905,19,6,1,0,0.0,0.0,0,False,0.0,0.0,1.103069018572569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,last_depth,64,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.1343718580901623,0.9362504292900965,1.0620561391115189,1.1343718580901623,0.9362504292900965,30,1.0657644122838974,1.117785420268774,1.1343718580901623,1.1705311331897974,1.2772114649415016,"[1.195675253868103, 1.2548103481531143, 1.1718797609210014, 1.1828895285725594, 1.16621994972229, 1.2772114649415016, 1.1063901409506798, 1.1330039352178574, 1.123540848493576, 1.1144550815224648, 1.1030917093157768, 1.12665406614542, 1.1675146371126175, 1.179530344903469, 1.1171348243951797, 1.1715366318821907, 1.1573957279324532, 1.1257938370108604, 1.1063269972801208, 1.188898243010044, 1.1586526781320572, 1.1410368233919144, 1.1140181124210358, 1.0986901298165321, 1.1197372078895569, 1.0657644122838974, 1.120338998734951, 1.1274869740009308, 1.1590448468923569, 1.1357397809624672]","[8.343025624752045, 1.0349181070923805, 1.0342176631093025, 1.022750549018383, 1.0418507531285286, 1.1734895929694176, 1.0069474801421165, 1.0029423609375954, 1.0851334184408188, 1.104401983320713, 1.1787292584776878, 1.0013150796294212, 0.9786069095134735, 0.9891222342848778, 0.9829054549336433, 1.033159926533699, 0.9949937835335732, 1.0664179995656013, 1.0281399637460709, 1.0576942786574364, 1.0664658099412918, 1.0486339032649994, 1.2421237230300903, 1.5331960022449493, 1.5058633163571358, 1.5574325323104858, 1.6070866212248802, 1.3992551490664482, 1.3484848961234093, 1.5121919065713882]",15905,19,6,15905,19,6,15905,19,6,2,0,0.0,0.0,0,False,0.0,0.0,1.1343718580901623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,0,bucketed,bucketed_nuts,last_depth,128,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.0984963960945606,0.9668271492627593,1.0620561391115189,1.0984963960945606,0.9668271492627593,30,1.0626211538910866,1.0816789790987968,1.0984963960945606,1.1291504446417093,1.3370878770947456,"[1.1540368795394897, 1.3370878770947456, 1.0872993096709251, 1.143110103905201, 1.081455297768116, 1.1051803454756737, 1.065351702272892, 1.0878377929329872, 1.1180400475859642, 1.2497915774583817, 1.2099433615803719, 1.208122156560421, 1.1343157291412354, 1.132425308227539, 1.0917599946260452, 1.109478771686554, 1.1122851371765137, 1.1049034371972084, 1.0626211538910866, 1.0883931294083595, 1.0959303081035614, 1.0703387185931206, 1.068357765674591, 1.1010624840855598, 1.0823500230908394, 1.1193258538842201, 1.090166263282299, 1.0802014395594597, 1.066897727549076, 1.0811929181218147]","[8.343025624752045, 1.0349181070923805, 1.0342176631093025, 1.022750549018383, 1.0418507531285286, 1.1734895929694176, 1.0069474801421165, 1.0029423609375954, 1.0851334184408188, 1.104401983320713, 1.1787292584776878, 1.0013150796294212, 0.9786069095134735, 0.9891222342848778, 0.9829054549336433, 1.033159926533699, 0.9949937835335732, 1.0664179995656013, 1.0281399637460709, 1.0576942786574364, 1.0664658099412918, 1.0486339032649994, 1.2421237230300903, 1.5331960022449493, 1.5058633163571358, 1.5574325323104858, 1.6070866212248802, 1.3992551490664482, 1.3484848961234093, 1.5121919065713882]",15905,19,6,15905,19,6,15905,19,6,1,0,0.0,0.0,0,False,0.0,0.0,1.0984963960945606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,monolithic,nuts_reference,monolithic,0,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.0179572626948357,1.0,1.0179572626948357,1.0179572626948357,1.0,30,0.9743047505617142,0.999477244913578,1.0179572626948357,1.0426897052675486,1.197399154305458,"[1.0024716556072235, 1.0009523034095764, 1.0048627778887749, 1.0112194642424583, 0.9857633635401726, 0.9989855587482452, 1.0248140916228294, 1.0606659427285194, 1.0221139788627625, 0.9931100830435753, 1.0233694165945053, 1.0180814191699028, 1.046344354748726, 1.0056925863027573, 1.0566481724381447, 1.0177569836378098, 1.140255220234394, 1.197399154305458, 1.0575148090720177, 1.0317257568240166, 1.0217019468545914, 1.0466272979974747, 0.9958334118127823, 0.987501747906208, 1.018489733338356, 1.0642437785863876, 0.9766415134072304, 0.9864806309342384, 0.9743047505617142, 1.0178331062197685]","[1.0024716556072235, 1.0009523034095764, 1.0048627778887749, 1.0112194642424583, 0.9857633635401726, 0.9989855587482452, 1.0248140916228294, 1.0606659427285194, 1.0221139788627625, 0.9931100830435753, 1.0233694165945053, 1.0180814191699028, 1.046344354748726, 1.0056925863027573, 1.0566481724381447, 1.0177569836378098, 1.140255220234394, 1.197399154305458, 1.0575148090720177, 1.0317257568240166, 1.0217019468545914, 1.0466272979974747, 0.9958334118127823, 0.987501747906208, 1.018489733338356, 1.0642437785863876, 0.9766415134072304, 0.9864806309342384, 0.9743047505617142, 1.0178331062197685]",15774,15,6,15774,15,6,15774,15,6,,0,0.0,0.0,0,False,0.0,0.0,1.0179572626948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,bucketed,bucketed_nuts,history,64,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.0957874916493893,0.9289732456816031,1.0179572626948357,1.0957874916493893,0.9289732456816031,30,1.0332407653331757,1.0704541988670826,1.0957874916493893,1.135816840454936,1.2355812415480614,"[1.096786506474018, 1.0488713905215263, 1.0349305123090744, 1.0730660557746887, 1.0695835798978806, 1.1646398454904556, 1.2355812415480614, 1.068954512476921, 1.1645232662558556, 1.13809385150671, 1.0947884768247604, 1.0858415812253952, 1.0930078253149986, 1.0655594170093536, 1.0990298241376877, 1.0392145588994026, 1.0332407653331757, 1.086478941142559, 1.1370225921273232, 1.1151534169912338, 1.092314325273037, 1.1177686527371407, 1.0898628905415535, 1.1109278947114944, 1.1321995854377747, 1.1434636414051056, 1.0693254321813583, 1.21521358191967, 1.1110723242163658, 1.1422160938382149]","[1.0024716556072235, 1.0009523034095764, 1.0048627778887749, 1.0112194642424583, 0.9857633635401726, 0.9989855587482452, 1.0248140916228294, 1.0606659427285194, 1.0221139788627625, 0.9931100830435753, 1.0233694165945053, 1.0180814191699028, 1.046344354748726, 1.0056925863027573, 1.0566481724381447, 1.0177569836378098, 1.140255220234394, 1.197399154305458, 1.0575148090720177, 1.0317257568240166, 1.0217019468545914, 1.0466272979974747, 0.9958334118127823, 0.987501747906208, 1.018489733338356, 1.0642437785863876, 0.9766415134072304, 0.9864806309342384, 0.9743047505617142, 1.0178331062197685]",15774,15,6,15774,15,6,15774,15,6,2,0,0.0,0.0,0,False,0.0,0.0,1.0957874916493893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,bucketed,bucketed_nuts,history,128,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.13221999630332,0.899080802333866,1.0179572626948357,1.13221999630332,0.899080802333866,30,1.0772416591644287,1.105612613260746,1.13221999630332,1.1645812317728996,1.3415071740746498,"[1.1087198182940483, 1.1488279700279236, 1.2066830918192863, 1.146631009876728, 1.16677825152874, 1.1160572096705437, 1.0889995098114014, 1.122252568602562, 1.0772416591644287, 1.1099263951182365, 1.1016737297177315, 1.0925253555178642, 1.1439444795250893, 1.1506280452013016, 1.081257663667202, 1.1278380528092384, 1.3415071740746498, 1.2264172285795212, 1.2139816731214523, 1.2106281593441963, 1.1579901725053787, 1.1366019397974014, 1.085808403789997, 1.1080729141831398, 1.0944369956851006, 1.1047925129532814, 1.1202835887670517, 1.142581194639206, 1.1787085235118866, 1.2549982145428658]","[1.0024716556072235, 1.0009523034095764, 1.0048627778887749, 1.0112194642424583, 0.9857633635401726, 0.9989855587482452, 1.0248140916228294, 1.0606659427285194, 1.0221139788627625, 0.9931100830435753, 1.0233694165945053, 1.0180814191699028, 1.046344354748726, 1.0056925863027573, 1.0566481724381447, 1.0177569836378098, 1.140255220234394, 1.197399154305458, 1.0575148090720177, 1.0317257568240166, 1.0217019468545914, 1.0466272979974747, 0.9958334118127823, 0.987501747906208, 1.018489733338356, 1.0642437785863876, 0.9766415134072304, 0.9864806309342384, 0.9743047505617142, 1.0178331062197685]",15774,15,6,15774,15,6,15774,15,6,1,0,0.0,0.0,0,False,0.0,0.0,1.13221999630332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,bucketed,bucketed_nuts,last_depth,64,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.1174133643507957,0.9109943510352206,1.0179572626948357,1.1174133643507957,0.9109943510352206,30,1.054306447505951,1.0950414054095745,1.1174133643507957,1.143632210791111,1.3455345258116722,"[1.1181181371212006, 1.148068368434906, 1.3455345258116722, 1.155926451086998, 1.0963151827454567, 1.0897981449961662, 1.1451170295476913, 1.1399015486240387, 1.1321974694728851, 1.1285613402724266, 1.1460698321461678, 1.1237767562270164, 1.095974363386631, 1.2323846146464348, 1.2140387818217278, 1.1119284331798553, 1.0949027463793755, 1.0623809546232224, 1.0580167695879936, 1.0812016874551773, 1.054306447505951, 1.0894465520977974, 1.1140633150935173, 1.1339490935206413, 1.1250866204500198, 1.116708591580391, 1.0986784026026726, 1.0655687674880028, 1.0954573825001717, 1.1448757648468018]","[1.0024716556072235, 1.0009523034095764, 1.0048627778887749, 1.0112194642424583, 0.9857633635401726, 0.9989855587482452, 1.0248140916228294, 1.0606659427285194, 1.0221139788627625, 0.9931100830435753, 1.0233694165945053, 1.0180814191699028, 1.046344354748726, 1.0056925863027573, 1.0566481724381447, 1.0177569836378098, 1.140255220234394, 1.197399154305458, 1.0575148090720177, 1.0317257568240166, 1.0217019468545914, 1.0466272979974747, 0.9958334118127823, 0.987501747906208, 1.018489733338356, 1.0642437785863876, 0.9766415134072304, 0.9864806309342384, 0.9743047505617142, 1.0178331062197685]",15774,15,6,15774,15,6,15774,15,6,2,0,0.0,0.0,0,False,0.0,0.0,1.1174133643507957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
gaussian_process,gaussian_process,log_hyperparameters,1,bucketed,bucketed_nuts,last_depth,128,128,3,,,8,,,squared_exponential,1,37,1e-05,16,0.2,8,,,0.9,1.2232091464102268,0.8322021345918256,1.0179572626948357,1.2232091464102268,0.8322021345918256,30,1.0838246196508408,1.1619053035974503,1.2232091464102268,1.350239660590887,1.6469191312789917,"[1.213729314506054, 1.1647581681609154, 1.2707420587539673, 1.2238090932369232, 1.1410069167613983, 1.2006170004606247, 1.1605576872825623, 1.139030545949936, 1.3363938853144646, 1.3415401503443718, 1.6469191312789917, 1.4203312993049622, 1.528701663017273, 1.4412009716033936, 1.6187766939401627, 1.4400363564491272, 1.2479884028434753, 1.2273799180984497, 1.2765107452869415, 1.3616765215992928, 1.3531394973397255, 1.2226091995835304, 1.174628309905529, 1.190488301217556, 1.1734407469630241, 1.1609543487429619, 1.159210167825222, 1.0838246196508408, 1.0865191742777824, 1.093666099011898]","[1.0024716556072235, 1.0009523034095764, 1.0048627778887749, 1.0112194642424583, 0.9857633635401726, 0.9989855587482452, 1.0248140916228294, 1.0606659427285194, 1.0221139788627625, 0.9931100830435753, 1.0233694165945053, 1.0180814191699028, 1.046344354748726, 1.0056925863027573, 1.0566481724381447, 1.0177569836378098, 1.140255220234394, 1.197399154305458, 1.0575148090720177, 1.0317257568240166, 1.0217019468545914, 1.0466272979974747, 0.9958334118127823, 0.987501747906208, 1.018489733338356, 1.0642437785863876, 0.9766415134072304, 0.9864806309342384, 0.9743047505617142, 1.0178331062197685]",15774,15,6,15774,15,6,15774,15,6,1,0,0.0,0.0,0,False,0.0,0.0,1.2232091464102268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
