row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,gaussian_process,0,monolithic,monolithic,0,128,3,0,8.343025624752045,8.343025624752045,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,1,1.0349181070923805,1.0349181070923805,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,2,1.0342176631093025,1.0342176631093025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,3,1.022750549018383,1.022750549018383,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,4,1.0418507531285286,1.0418507531285286,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,5,1.1734895929694176,1.1734895929694176,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,6,1.0069474801421165,1.0069474801421165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,7,1.0029423609375954,1.0029423609375954,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,8,1.0851334184408188,1.0851334184408188,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,9,1.104401983320713,1.104401983320713,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,10,1.1787292584776878,1.1787292584776878,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,11,1.0013150796294212,1.0013150796294212,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,12,0.9786069095134735,0.9786069095134735,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,13,0.9891222342848778,0.9891222342848778,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,14,0.9829054549336433,0.9829054549336433,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,15,1.033159926533699,1.033159926533699,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,16,0.9949937835335732,0.9949937835335732,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,17,1.0664179995656013,1.0664179995656013,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,18,1.0281399637460709,1.0281399637460709,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,19,1.0576942786574364,1.0576942786574364,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,20,1.0664658099412918,1.0664658099412918,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,21,1.0486339032649994,1.0486339032649994,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,22,1.2421237230300903,1.2421237230300903,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,23,1.5331960022449493,1.5331960022449493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,24,1.5058633163571358,1.5058633163571358,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,25,1.5574325323104858,1.5574325323104858,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,26,1.6070866212248802,1.6070866212248802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,27,1.3992551490664482,1.3992551490664482,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,28,1.3484848961234093,1.3484848961234093,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,128,3,29,1.5121919065713882,1.5121919065713882,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,0,5.785283863544464,8.343025624752045,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,1,1.1402459666132927,1.0349181070923805,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,2,1.1341710463166237,1.0342176631093025,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,history,64,128,3,3,1.1215173602104187,1.022750549018383,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
