row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,0,1.9096629992127419,1.9096629992127419,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,1,1.9111573994159698,1.9111573994159698,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,2,1.9430657252669334,1.9430657252669334,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,3,1.8961446657776833,1.8961446657776833,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,4,1.91951934248209,1.91951934248209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,5,1.8692869767546654,1.8692869767546654,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,6,1.9063723012804985,1.9063723012804985,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,7,1.899858683347702,1.899858683347702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,8,1.933768354356289,1.933768354356289,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,9,1.9129450246691704,1.9129450246691704,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,10,1.9250566065311432,1.9250566065311432,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,11,1.9359266012907028,1.9359266012907028,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,12,1.910935364663601,1.910935364663601,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,13,1.8919311687350273,1.8919311687350273,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,14,1.8886633589863777,1.8886633589863777,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,15,1.9545903131365776,1.9545903131365776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,16,1.8915774747729301,1.8915774747729301,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,17,1.9287863373756409,1.9287863373756409,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,18,1.956614799797535,1.956614799797535,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,19,1.9041771441698074,1.9041771441698074,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,20,1.8726266995072365,1.8726266995072365,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,21,1.9650556817650795,1.9650556817650795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,22,1.8695087134838104,1.8695087134838104,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,23,1.8976451754570007,1.8976451754570007,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,24,1.8923601806163788,1.8923601806163788,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,25,1.894813895225525,1.894813895225525,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,26,1.9159119948744774,1.9159119948744774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,27,2.023951657116413,2.023951657116413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,28,2.2047670111060143,2.2047670111060143,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,eight_schools_centered,0,monolithic,monolithic,0,512,10,29,1.9401726871728897,1.9401726871728897,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
