model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_cold_prime_seconds,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.0761967152357101,1.0,1.0761967152357101,1.0761967152357101,1.0,4.816138207912445,30,0.9882810711860657,1.0214338079094887,1.0761967152357101,1.164007032290101,1.2606843411922455,"[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,,0,0.0,0.0,0,False,0.0,0.0,1.0761967152357101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,none,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.6129530295729637,0.6672213607612851,1.0761967152357101,1.6129530295729637,0.6672213607612851,3.9647765681147575,30,1.380228914320469,1.5201100632548332,1.6129530295729637,1.6478575095534325,1.7761497125029564,"[1.629563644528389, 1.5207676514983177, 1.6169241219758987, 1.5556090623140335, 1.6156249046325684, 1.721702478826046, 1.568205714225769, 1.5198908671736717, 1.475573554635048, 1.610281154513359, 1.6070924773812294, 1.380228914320469, 1.5075858980417252, 1.6308877617120743, 1.5295992270112038, 1.5611887946724892, 1.7350437864661217, 1.4950016140937805, 1.5132988914847374, 1.4878514185547829, 1.7015306055545807, 1.6312264055013657, 1.7198781073093414, 1.7603743523359299, 1.6843902245163918, 1.7761497125029564, 1.63005892932415, 1.6249312162399292, 1.6534012109041214, 1.4520879536867142]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,8,0,0.0,0.0,0,False,0.0,0.0,1.6129530295729637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,none,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.6333634182810783,0.6588838118881588,1.0761967152357101,1.6333634182810783,0.6588838118881588,3.6953845247626305,30,1.44154641777277,1.558019980788231,1.6333634182810783,1.684711592271924,1.9308745041489601,"[1.6130430474877357, 1.6392775103449821, 1.7104258462786674, 1.6851928308606148, 1.659334808588028, 1.6832678765058517, 1.5512007176876068, 1.6714621111750603, 1.6454413831233978, 1.7313129305839539, 1.617203839123249, 1.6346101239323616, 1.6386972591280937, 1.5933320745825768, 1.5269878134131432, 1.7052127793431282, 1.5367050915956497, 1.5457137376070023, 1.5104579403996468, 1.5520533695816994, 1.9308745041489601, 1.837882049381733, 1.448092207312584, 1.583692580461502, 1.44154641777277, 1.5759198144078255, 1.685762882232666, 1.7161626443266869, 1.592179149389267, 1.632116712629795]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,4,0,0.0,0.0,0,False,0.0,0.0,1.6333634182810783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.0160217098891735,1.0592261019236493,1.0761967152357101,1.0160217098891735,1.0592261019236493,1.149413637816906,30,0.9060033112764359,0.9633196666836739,1.0160217098891735,1.090321272611618,1.1633165925741196,"[1.1133956089615822, 1.1633165925741196, 1.09038458019495, 1.1238953694701195, 1.122996300458908, 1.1431161016225815, 0.9772021919488907, 1.0946320369839668, 1.1054096594452858, 1.0087722539901733, 0.9630927816033363, 1.000040054321289, 0.9520336091518402, 1.025522768497467, 1.0640616342425346, 0.9640003219246864, 0.9254854395985603, 0.9125799387693405, 1.0522942394018173, 1.0232711657881737, 1.0901313498616219, 0.9390509873628616, 0.9060033112764359, 0.9982645809650421, 0.958213560283184, 0.9836694151163101, 0.9965819418430328, 1.0601484403014183, 0.9413428381085396, 1.0753957107663155]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,8,0,0.0,0.0,0,False,0.0,0.0,1.0160217098891735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.067209180444479,1.008421530620162,1.0761967152357101,1.067209180444479,1.008421530620162,0.9693153947591782,30,0.9350791499018669,1.0147839784622192,1.067209180444479,1.1046382244676352,1.1765359193086624,"[1.0381477996706963, 0.9953398108482361, 1.0656843930482864, 0.9366965889930725, 1.101601891219616, 1.1189020574092865, 1.0141484960913658, 1.0687339678406715, 1.1480523496866226, 1.041376568377018, 1.1288014277815819, 1.0927434414625168, 1.081780731678009, 1.0815210714936256, 1.0965396910905838, 1.1056503355503082, 1.0824000015854836, 0.9350791499018669, 0.980778768658638, 1.0245544835925102, 1.0618224740028381, 1.1765359193086624, 1.1179761737585068, 0.9966648891568184, 1.1183650866150856, 1.0654857233166695, 1.0075213089585304, 1.1217293441295624, 1.0166904255747795, 0.9999770000576973]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,4,0,0.0,0.0,0,False,0.0,0.0,1.067209180444479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.1112985126674175,0.9684137096994276,1.0761967152357101,1.1112985126674175,0.9684137096994276,1.0664666146039963,30,0.9802545383572578,1.0381605997681618,1.1112985126674175,1.1421230286359787,1.2751408591866493,"[1.1233080103993416, 0.9955116882920265, 0.9911239668726921, 1.140676200389862, 1.141301691532135, 1.048893503844738, 1.0028816685080528, 1.0731857791543007, 0.9802545383572578, 1.0345829650759697, 1.0700997933745384, 1.1348765790462494, 1.15764369815588, 1.0823389440774918, 1.1498666852712631, 1.130623646080494, 1.1568294018507004, 1.1449007540941238, 1.0709661543369293, 1.1423968076705933, 1.0183179825544357, 1.0117987394332886, 0.9988871291279793, 1.1074179261922836, 1.1425504460930824, 1.1151790991425514, 1.139598697423935, 1.2751408591866493, 1.1773103773593903, 1.1030192002654076]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,8,0,0.0,0.0,0,False,0.0,0.0,1.1112985126674175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.3199241757392883,0.8153473775362386,1.0761967152357101,1.3199241757392883,0.8153473775362386,1.3372892513871193,30,1.0360429137945175,1.2389292102307081,1.3199241757392883,1.3457903172820807,1.5738519057631493,"[1.2298723012208939, 1.266099937260151, 1.3485539555549622, 1.5738519057631493, 1.3372219279408455, 1.0360429137945175, 1.228363186120987, 1.272631861269474, 1.227380357682705, 1.2063836604356766, 1.3306290581822395, 1.2116324082016945, 1.301146261394024, 1.305946633219719, 1.3341051042079926, 1.3232963383197784, 1.167710855603218, 1.417117863893509, 1.3482074066996574, 1.3477968350052834, 1.3233494982123375, 1.3686883822083473, 1.4589100703597069, 1.3385109305381775, 1.3397707641124725, 1.3600071743130684, 1.3165520131587982, 1.3099365532398224, 1.201602578163147, 1.2744059935212135]","[1.1752708405256271, 1.1890087276697159, 1.2606843411922455, 1.1545001938939095, 1.206381805241108, 1.260070115327835, 1.2572556287050247, 1.137234017252922, 1.167175978422165, 1.137881062924862, 1.2213558703660965, 1.1488689631223679, 1.086995154619217, 1.1354252025485039, 1.11166300624609, 1.018838256597519, 1.0008684322237968, 1.0653982758522034, 1.0106080323457718, 1.045932061970234, 1.0115579143166542, 1.0051675140857697, 1.0205219611525536, 1.0334468856453896, 1.0451246723532677, 0.999073289334774, 1.0261517688632011, 1.024169348180294, 1.0385425388813019, 0.9882810711860657]",157928,7,8,157928,7,8,157928,7,8,4,0,0.0,0.0,0,False,0.0,0.0,1.3199241757392883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,monolithic,nuts_reference,monolithic,0,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.006141483783722,1.0,1.006141483783722,1.006141483783722,1.0,1.062202200293541,30,0.930045522749424,0.9765640590339899,1.006141483783722,1.0390398651361465,1.2938042730093002,"[1.0435990765690804, 0.9770496115088463, 0.9550772830843925, 1.041570819914341, 0.930045522749424, 0.9764022082090378, 1.1242462918162346, 0.978143997490406, 1.0662250220775604, 0.9737990498542786, 1.0085631236433983, 0.9446221962571144, 0.9695617854595184, 1.07001281529665, 0.9959614723920822, 0.9954687058925629, 0.9432079046964645, 1.0210204795002937, 0.9774707332253456, 1.0314470008015633, 1.0081133097410202, 1.0043372437357903, 1.0079457238316536, 1.1783170998096466, 1.2938042730093002, 1.1849808171391487, 1.0186468437314034, 1.0177151933312416, 0.9862065985798836, 0.9528091251850128]","[1.0435990765690804, 0.9770496115088463, 0.9550772830843925, 1.041570819914341, 0.930045522749424, 0.9764022082090378, 1.1242462918162346, 0.978143997490406, 1.0662250220775604, 0.9737990498542786, 1.0085631236433983, 0.9446221962571144, 0.9695617854595184, 1.07001281529665, 0.9959614723920822, 0.9954687058925629, 0.9432079046964645, 1.0210204795002937, 0.9774707332253456, 1.0314470008015633, 1.0081133097410202, 1.0043372437357903, 1.0079457238316536, 1.1783170998096466, 1.2938042730093002, 1.1849808171391487, 1.0186468437314034, 1.0177151933312416, 0.9862065985798836, 0.9528091251850128]",154509,14,8,154509,14,8,154509,14,8,,0,0.0,0.0,0,False,0.0,0.0,1.006141483783722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,none,64,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.449891161173582,0.6939427666896893,1.006141483783722,1.449891161173582,0.6939427666896893,1.520237185060978,30,1.3350548967719078,1.4272931776940823,1.449891161173582,1.5047524515539408,1.6479380801320076,"[1.377838633954525, 1.4432516172528267, 1.5174070224165916, 1.4593205749988556, 1.6479380801320076, 1.5193606689572334, 1.4627343118190765, 1.398028053343296, 1.4360406696796417, 1.453815020620823, 1.4429657384753227, 1.4701431691646576, 1.415012203156948, 1.4449286386370659, 1.3909929767251015, 1.4936237260699272, 1.3746848702430725, 1.4459673017263412, 1.3350548967719078, 1.5084620267152786, 1.439845748245716, 1.511659413576126, 1.4291807264089584, 1.4096357896924019, 1.5789840146899223, 1.5306722298264503, 1.4805811047554016, 1.4907134175300598, 1.4266639947891235, 1.6016662865877151]","[1.0435990765690804, 0.9770496115088463, 0.9550772830843925, 1.041570819914341, 0.930045522749424, 0.9764022082090378, 1.1242462918162346, 0.978143997490406, 1.0662250220775604, 0.9737990498542786, 1.0085631236433983, 0.9446221962571144, 0.9695617854595184, 1.07001281529665, 0.9959614723920822, 0.9954687058925629, 0.9432079046964645, 1.0210204795002937, 0.9774707332253456, 1.0314470008015633, 1.0081133097410202, 1.0043372437357903, 1.0079457238316536, 1.1783170998096466, 1.2938042730093002, 1.1849808171391487, 1.0186468437314034, 1.0177151933312416, 0.9862065985798836, 0.9528091251850128]",154509,14,8,154509,14,8,154509,14,8,8,0,0.0,0.0,0,False,0.0,0.0,1.449891161173582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,none,128,512,4,,,,,,,,,,16,0.2,8,,,0.9,1.5602337680757046,0.644865855598443,1.006141483783722,1.5602337680757046,0.644865855598443,1.506720870733261,30,1.4204729422926903,1.4882976040244102,1.5602337680757046,1.5942559335380793,1.8770288825035095,"[1.469894528388977, 1.4875594228506088, 1.562387928366661, 1.6854786425828934, 1.8770288825035095, 1.7037202194333076, 1.57208351790905, 1.5661554336547852, 1.5870148912072182, 1.4663737639784813, 1.6237486228346825, 1.5527042746543884, 1.6270803585648537, 1.725152626633644, 1.5582808777689934, 1.5621866583824158, 1.5139300376176834, 1.5768849775195122, 1.581398956477642, 1.6028232350945473, 1.4869013726711273, 1.4293730035424232, 1.596669614315033, 1.5190725699067116, 1.4283388033509254, 1.4905121475458145, 1.5283301323652267, 1.5171939060091972, 1.4668957889080048, 1.4204729422926903]","[1.0435990765690804, 0.9770496115088463, 0.9550772830843925, 1.041570819914341, 0.930045522749424, 0.9764022082090378, 1.1242462918162346, 0.978143997490406, 1.0662250220775604, 0.9737990498542786, 1.0085631236433983, 0.9446221962571144, 0.9695617854595184, 1.07001281529665, 0.9959614723920822, 0.9954687058925629, 0.9432079046964645, 1.0210204795002937, 0.9774707332253456, 1.0314470008015633, 1.0081133097410202, 1.0043372437357903, 1.0079457238316536, 1.1783170998096466, 1.2938042730093002, 1.1849808171391487, 1.0186468437314034, 1.0177151933312416, 0.9862065985798836, 0.9528091251850128]",154509,14,8,154509,14,8,154509,14,8,4,0,0.0,0.0,0,False,0.0,0.0,1.5602337680757046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
