row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,funnel,0,monolithic,monolithic,0,512,4,0,1.1752708405256271,1.1752708405256271,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,1,1.1890087276697159,1.1890087276697159,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,2,1.2606843411922455,1.2606843411922455,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,3,1.1545001938939095,1.1545001938939095,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,4,1.206381805241108,1.206381805241108,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,5,1.260070115327835,1.260070115327835,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,6,1.2572556287050247,1.2572556287050247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,7,1.137234017252922,1.137234017252922,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,8,1.167175978422165,1.167175978422165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,9,1.137881062924862,1.137881062924862,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,10,1.2213558703660965,1.2213558703660965,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,11,1.1488689631223679,1.1488689631223679,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,12,1.086995154619217,1.086995154619217,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,13,1.1354252025485039,1.1354252025485039,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,14,1.11166300624609,1.11166300624609,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,15,1.018838256597519,1.018838256597519,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,16,1.0008684322237968,1.0008684322237968,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,17,1.0653982758522034,1.0653982758522034,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,18,1.0106080323457718,1.0106080323457718,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,19,1.045932061970234,1.045932061970234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,20,1.0115579143166542,1.0115579143166542,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,21,1.0051675140857697,1.0051675140857697,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,22,1.0205219611525536,1.0205219611525536,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,23,1.0334468856453896,1.0334468856453896,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,24,1.0451246723532677,1.0451246723532677,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,512,4,25,0.999073289334774,0.999073289334774,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
