row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,gaussian_process,0,monolithic,monolithic,0,512,3,0,3.934896059334278,3.934896059334278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,1,3.950060196220875,3.950060196220875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,2,4.106549061834812,4.106549061834812,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,3,4.01216334849596,4.01216334849596,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,4,3.8613481521606445,3.8613481521606445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,5,3.6853192299604416,3.6853192299604416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,6,3.6543256118893623,3.6543256118893623,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,7,4.108213551342487,4.108213551342487,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,8,3.8613855987787247,3.8613855987787247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,9,3.6958292424678802,3.6958292424678802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,10,3.6788294464349747,3.6788294464349747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,11,3.534210555255413,3.534210555255413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,12,3.5214492976665497,3.5214492976665497,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,13,3.6095536947250366,3.6095536947250366,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,14,3.758891277015209,3.758891277015209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,15,3.66851694136858,3.66851694136858,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,16,3.9392407312989235,3.9392407312989235,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,17,4.38070971518755,4.38070971518755,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,18,4.169888757169247,4.169888757169247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,19,4.037783786654472,4.037783786654472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,20,3.9307724311947823,3.9307724311947823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,21,3.9523887783288956,3.9523887783288956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,22,4.098079152405262,4.098079152405262,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,23,3.6900958865880966,3.6900958865880966,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,24,3.934819996356964,3.934819996356964,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,25,3.9256811290979385,3.9256811290979385,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,26,3.948438249528408,3.948438249528408,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,27,3.7990537136793137,3.7990537136793137,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,28,3.8709884732961655,3.8709884732961655,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,gaussian_process,0,monolithic,monolithic,0,512,3,29,3.812593623995781,3.812593623995781,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,0,3.8739359751343727,3.934896059334278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,1,4.163986220955849,3.950060196220875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,2,4.061537608504295,4.106549061834812,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,3,4.174074441194534,4.01216334849596,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,4,4.193804584443569,3.8613481521606445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,5,4.26632584631443,3.6853192299604416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,6,4.6947706043720245,3.6543256118893623,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,7,4.492955319583416,4.108213551342487,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,8,4.321089260280132,3.8613855987787247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,9,4.251056961715221,3.6958292424678802,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,10,4.048518054187298,3.6788294464349747,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,11,4.134182438254356,3.534210555255413,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,12,3.893311358988285,3.5214492976665497,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,13,3.944106452167034,3.6095536947250366,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,14,4.091278001666069,3.758891277015209,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,15,3.9925711899995804,3.66851694136858,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,16,4.107432521879673,3.9392407312989235,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,17,4.108211934566498,4.38070971518755,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,18,4.0735065042972565,4.169888757169247,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,19,4.076450079679489,4.037783786654472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,20,4.195939429104328,3.9307724311947823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,21,5.104046382009983,3.9523887783288956,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,22,4.300529293715954,4.098079152405262,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,23,4.141621515154839,3.6900958865880966,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,24,4.126706801354885,3.934819996356964,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,25,3.9035646319389343,3.9256811290979385,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,26,4.163723438978195,3.948438249528408,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,27,4.0113237500190735,3.7990537136793137,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,28,4.1142251044511795,3.8709884732961655,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,gaussian_process,0,bucketed,none,64,512,3,29,4.100827760994434,3.812593623995781,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,0,4.709311626851559,3.934896059334278,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,1,4.256104089319706,3.950060196220875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,2,3.9256183058023453,4.106549061834812,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,3,4.128918506205082,4.01216334849596,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,4,4.203921690583229,3.8613481521606445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,5,3.916310951113701,3.6853192299604416,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,6,3.773825041949749,3.6543256118893623,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,gaussian_process,0,bucketed,none,128,512,3,7,3.905465289950371,4.108213551342487,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
