row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,0,0.38843854516744614,0.38843854516744614,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,1,0.3513946235179901,0.3513946235179901,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,2,0.3631865531206131,0.3631865531206131,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,3,0.3400320038199425,0.3400320038199425,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,4,0.35279129445552826,0.35279129445552826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,5,0.35653693974018097,0.35653693974018097,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,6,0.34479818493127823,0.34479818493127823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,7,0.34521501511335373,0.34521501511335373,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,8,0.3411964327096939,0.3411964327096939,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,9,0.35056132078170776,0.35056132078170776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,10,0.3442094027996063,0.3442094027996063,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,11,0.3439497575163841,0.3439497575163841,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,12,0.34905607253313065,0.34905607253313065,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,13,0.35771167278289795,0.35771167278289795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,14,0.340014711022377,0.340014711022377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,15,0.34860461205244064,0.34860461205244064,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,16,0.35313327610492706,0.35313327610492706,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,17,0.33774925023317337,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,18,0.3452396020293236,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,19,0.34999529272317886,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,20,0.34414228796958923,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,21,0.34170185029506683,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,22,0.34769129008054733,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,23,0.35095154494047165,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,24,0.3450822979211807,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,25,0.3466787561774254,0.3466787561774254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,26,0.35295601934194565,0.35295601934194565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,27,0.35189341753721237,0.35189341753721237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,28,0.4169389307498932,0.4169389307498932,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,hierarchical_logistic,0,monolithic,monolithic,0,512,8,29,0.35354384034872055,0.35354384034872055,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,0,0.4106907248497009,0.38843854516744614,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,1,0.4061034619808197,0.3513946235179901,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,2,0.3980287164449692,0.3631865531206131,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,3,0.3905349001288414,0.3400320038199425,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,4,0.4043777957558632,0.35279129445552826,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,5,0.39664218574762344,0.35653693974018097,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,6,0.38646242767572403,0.34479818493127823,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,7,0.40739109367132187,0.34521501511335373,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,8,0.39200907945632935,0.3411964327096939,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,9,0.38983217626810074,0.35056132078170776,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,10,0.5138377025723457,0.3442094027996063,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,11,0.47937528789043427,0.3439497575163841,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,12,0.5083436742424965,0.34905607253313065,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,13,0.48174455761909485,0.35771167278289795,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,14,0.5251292884349823,0.340014711022377,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,15,0.4750272035598755,0.34860461205244064,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,16,0.5130214393138885,0.35313327610492706,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,17,0.5355774313211441,0.33774925023317337,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,18,0.4502723887562752,0.3452396020293236,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,19,0.4148760214447975,0.34999529272317886,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,20,0.4745362475514412,0.34414228796958923,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,21,0.4379778429865837,0.34170185029506683,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,22,0.5928741469979286,0.34769129008054733,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,23,0.4499256759881973,0.35095154494047165,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,24,0.5170917585492134,0.3450822979211807,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,25,0.4450961574912071,0.3466787561774254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,26,0.48908446729183197,0.35295601934194565,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,27,0.4463367611169815,0.35189341753721237,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,hierarchical_logistic,0,bucketed,none,64,512,8,28,0.47241824865341187,0.4169389307498932,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
