model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_cold_prime_seconds,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
stochastic_volatility,stochastic_volatility,,0,monolithic,nuts_reference,monolithic,0,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.3397652767598629,1.0,0.3397652767598629,0.3397652767598629,1.0,5.074410878121853,30,0.26851484924554825,0.3131323382258415,0.3397652767598629,0.3716425560414791,0.4912969470024109,"[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,,0,0.0,0.0,0,False,0.0,0.0,0.3397652767598629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,bucketed,bucketed_nuts,none,64,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.6032290756702423,0.5632441977077328,0.3397652767598629,0.6032290756702423,0.5632441977077328,3.612429156899452,30,0.4975038915872574,0.5656965374946594,0.6032290756702423,0.6380856093019247,0.744010217487812,"[0.5752346068620682, 0.5399385094642639, 0.5430003777146339, 0.5625171810388565, 0.6189350783824921, 0.5856195688247681, 0.5931371748447418, 0.4975038915872574, 0.5452439188957214, 0.5624399706721306, 0.5780343413352966, 0.6001526787877083, 0.6895166039466858, 0.6128207817673683, 0.5881178602576256, 0.6204362064599991, 0.6636701226234436, 0.6351141631603241, 0.5616816803812981, 0.6063054725527763, 0.5501519590616226, 0.5795580223202705, 0.6185467690229416, 0.6510455384850502, 0.6751502454280853, 0.6390760913491249, 0.6238010972738266, 0.6689646318554878, 0.744010217487812, 0.6502801701426506]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,8,0,0.0,0.0,0,False,0.0,0.0,0.6032290756702423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,bucketed,bucketed_nuts,none,128,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.6012107878923416,0.5651350301796388,0.3397652767598629,0.6012107878923416,0.5651350301796388,3.7202556803822517,30,0.4970890134572983,0.5610716305673122,0.6012107878923416,0.6485069990158081,0.7161068096756935,"[0.5977458134293556, 0.685074932873249, 0.6698284819722176, 0.6466769948601723, 0.5771532654762268, 0.6691073998808861, 0.6162792295217514, 0.553196057677269, 0.6806159988045692, 0.6372990608215332, 0.5794443935155869, 0.5912952423095703, 0.5418534204363823, 0.5466678291559219, 0.5531540662050247, 0.639990545809269, 0.5716372653841972, 0.5575497522950172, 0.5113556310534477, 0.5484636947512627, 0.4970890134572983, 0.5946476012468338, 0.6105136275291443, 0.603915199637413, 0.639046810567379, 0.64911700040102, 0.7102202102541924, 0.7161068096756935, 0.5985063761472702, 0.6613451689481735]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,4,0,0.0,0.0,0,False,0.0,0.0,0.6012107878923416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,bucketed,bucketed_nuts,history,64,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.7073834501206875,0.480312730955036,0.3397652767598629,0.7073834501206875,0.480312730955036,0.6297999918460846,30,0.6209725886583328,0.6727249249815941,0.7073834501206875,0.7321626953780651,0.9268438145518303,"[0.7724673449993134, 0.7162609323859215, 0.6209725886583328, 0.6950432807207108, 0.7234883457422256, 0.7709486186504364, 0.9225917384028435, 0.7692224606871605, 0.78108861297369, 0.6729161664843559, 0.7302877306938171, 0.7026343196630478, 0.9268438145518303, 0.7285564690828323, 0.719427689909935, 0.7292781695723534, 0.6253551468253136, 0.7068816795945168, 0.6347125023603439, 0.6578241437673569, 0.6975884735584259, 0.7078852206468582, 0.6881847009062767, 0.7407501563429832, 0.7327876836061478, 0.6614397019147873, 0.6477368474006653, 0.6726611778140068, 0.6845699399709702, 0.6601903811097145]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,8,0,0.0,0.0,0,False,0.0,0.0,0.7073834501206875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,bucketed,bucketed_nuts,history,128,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.5453091710805893,0.623069067565068,0.3397652767598629,0.5453091710805893,0.623069067565068,0.5697907879948616,30,0.47157543897628784,0.5250188894569874,0.5453091710805893,0.5763797350227833,0.6679354086518288,"[0.6257724165916443, 0.590209037065506, 0.6008947938680649, 0.503404326736927, 0.5057251080870628, 0.49318500608205795, 0.5211083367466927, 0.5632940754294395, 0.5237662196159363, 0.5278636068105698, 0.5723836123943329, 0.5083690956234932, 0.5311498939990997, 0.5873149335384369, 0.6679354086518288, 0.5409410372376442, 0.573319099843502, 0.5373761132359505, 0.47157543897628784, 0.6042132303118706, 0.5773999467492104, 0.5555531308054924, 0.5302450060844421, 0.5972180590033531, 0.5500533506274223, 0.53560009598732, 0.5496773049235344, 0.5240706503391266, 0.5381020084023476, 0.5565029606223106]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,4,0,0.0,0.0,0,False,0.0,0.0,0.5453091710805893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,bucketed,bucketed_nuts,last_depth,64,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.47150661051273346,0.7205949379805933,0.3397652767598629,0.47150661051273346,0.7205949379805933,0.7238353043794632,30,0.401301309466362,0.4462524261325598,0.47150661051273346,0.49412853829562664,0.6804854795336723,"[0.6717894896864891, 0.6007301136851311, 0.6804854795336723, 0.4491689205169678, 0.45916181057691574, 0.4739180952310562, 0.4936840236186981, 0.401301309466362, 0.47727203369140625, 0.4333801493048668, 0.44024013727903366, 0.4357820898294449, 0.4561644047498703, 0.44384947419166565, 0.4942767098546028, 0.41799449920654297, 0.45029522478580475, 0.4827457368373871, 0.6154732033610344, 0.4452802613377571, 0.45094194263219833, 0.48951562494039536, 0.4690951257944107, 0.4641958400607109, 0.49919959157705307, 0.42212986946105957, 0.48120734840631485, 0.5229488015174866, 0.4789670556783676, 0.5128853470087051]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,8,0,0.0,0.0,0,False,0.0,0.0,0.47150661051273346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,0,bucketed,bucketed_nuts,last_depth,128,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.38527803495526314,0.8818703531835522,0.3397652767598629,0.38527803495526314,0.8818703531835522,0.44300346076488495,30,0.3589061573147774,0.3699557464569807,0.38527803495526314,0.4191840160638094,0.48829440027475357,"[0.4358972758054733, 0.3803742155432701, 0.4017281085252762, 0.36935389041900635, 0.3856034576892853, 0.3666084036231041, 0.36491523683071136, 0.45660294592380524, 0.41390617191791534, 0.384952612221241, 0.39259281009435654, 0.39706552028656006, 0.38238637894392014, 0.4015476256608963, 0.36918192356824875, 0.4209432974457741, 0.43142007291316986, 0.3717613145709038, 0.3623589873313904, 0.3778302073478699, 0.3652869462966919, 0.39762062579393387, 0.3589061573147774, 0.37816233187913895, 0.3838508054614067, 0.45701801776885986, 0.4388798177242279, 0.45139558613300323, 0.48829440027475357, 0.364296056330204]","[0.31629855930805206, 0.33848123997449875, 0.3907069191336632, 0.34330810606479645, 0.34378089755773544, 0.28828269243240356, 0.32130254805088043, 0.40217792987823486, 0.2921770289540291, 0.3166840225458145, 0.4912969470024109, 0.43506970256567, 0.4006064012646675, 0.40053876489400864, 0.3922790139913559, 0.35736098885536194, 0.34104931354522705, 0.2716711238026619, 0.35862261056900024, 0.2963058650493622, 0.26851484924554825, 0.3121873363852501, 0.3745619133114815, 0.3159673437476158, 0.362884484231472, 0.3280029147863388, 0.28541214019060135, 0.3513184264302254, 0.28056298941373825, 0.3184075877070427]",49286,0,5,49286,0,5,49286,0,5,4,0,0.0,0.0,0,False,0.0,0.0,0.38527803495526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,1,monolithic,nuts_reference,monolithic,0,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.26896216347813606,1.0,0.26896216347813606,0.26896216347813606,1.0,0.2917105406522751,30,0.23446124792099,0.25617894902825356,0.26896216347813606,0.30188985355198383,0.3664809688925743,"[0.2573527917265892, 0.25874411314725876, 0.307544007897377, 0.3364066705107689, 0.2916538789868355, 0.27698221057653427, 0.3664809688925743, 0.35872478783130646, 0.3165968507528305, 0.30530184507369995, 0.27937178313732147, 0.2694285735487938, 0.23735716938972473, 0.23446124792099, 0.23834041506052017, 0.2568281218409538, 0.25368738174438477, 0.24244928359985352, 0.32148123532533646, 0.26159391552209854, 0.27100756019353867, 0.26849575340747833, 0.2559625580906868, 0.31472764909267426, 0.2499176412820816, 0.2644689232110977, 0.2832917869091034, 0.2703801691532135, 0.24703408777713776, 0.2610582709312439]","[0.2573527917265892, 0.25874411314725876, 0.307544007897377, 0.3364066705107689, 0.2916538789868355, 0.27698221057653427, 0.3664809688925743, 0.35872478783130646, 0.3165968507528305, 0.30530184507369995, 0.27937178313732147, 0.2694285735487938, 0.23735716938972473, 0.23446124792099, 0.23834041506052017, 0.2568281218409538, 0.25368738174438477, 0.24244928359985352, 0.32148123532533646, 0.26159391552209854, 0.27100756019353867, 0.26849575340747833, 0.2559625580906868, 0.31472764909267426, 0.2499176412820816, 0.2644689232110977, 0.2832917869091034, 0.2703801691532135, 0.24703408777713776, 0.2610582709312439]",48324,0,5,48324,0,5,48324,0,5,,0,0.0,0.0,0,False,0.0,0.0,0.26896216347813606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,1,bucketed,bucketed_nuts,none,64,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.4634729325771332,0.5803190317556985,0.26896216347813606,0.4634729325771332,0.5803190317556985,0.430686816573143,30,0.36823686212301254,0.43726797215640545,0.4634729325771332,0.5001658089458942,0.550307609140873,"[0.38867122679948807, 0.39479050040245056, 0.48873163014650345, 0.38386595994234085, 0.44291453808546066, 0.44451139122247696, 0.4657959043979645, 0.43569081276655197, 0.47494349628686905, 0.5464161932468414, 0.49572135508060455, 0.49142978340387344, 0.4546133950352669, 0.46666810661554337, 0.550307609140873, 0.523508831858635, 0.5019272416830063, 0.5115395039319992, 0.4419994503259659, 0.44376784563064575, 0.4323292672634125, 0.5016472935676575, 0.4611499607563019, 0.45304954051971436, 0.4732677713036537, 0.5090437531471252, 0.42607906460762024, 0.5114169865846634, 0.4065682962536812, 0.36823686212301254]","[0.2573527917265892, 0.25874411314725876, 0.307544007897377, 0.3364066705107689, 0.2916538789868355, 0.27698221057653427, 0.3664809688925743, 0.35872478783130646, 0.3165968507528305, 0.30530184507369995, 0.27937178313732147, 0.2694285735487938, 0.23735716938972473, 0.23446124792099, 0.23834041506052017, 0.2568281218409538, 0.25368738174438477, 0.24244928359985352, 0.32148123532533646, 0.26159391552209854, 0.27100756019353867, 0.26849575340747833, 0.2559625580906868, 0.31472764909267426, 0.2499176412820816, 0.2644689232110977, 0.2832917869091034, 0.2703801691532135, 0.24703408777713776, 0.2610582709312439]",48324,0,5,48324,0,5,48324,0,5,8,0,0.0,0.0,0,False,0.0,0.0,0.4634729325771332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
stochastic_volatility,stochastic_volatility,,1,bucketed,bucketed_nuts,none,128,512,6,,,6,,6,,,29,,16,0.2,8,,,0.9,0.37013672664761543,0.7266562437998716,0.26896216347813606,0.37013672664761543,0.7266562437998716,0.423146054148674,30,0.33815426379442215,0.3538880702108145,0.37013672664761543,0.3997535165399313,0.46384820342063904,"[0.4022444859147072, 0.33815426379442215, 0.38894835114479065, 0.3388862907886505, 0.3549795374274254, 0.36597299575805664, 0.3555237427353859, 0.4066048562526703, 0.3499029502272606, 0.42707841843366623, 0.46384820342063904, 0.4090609550476074, 0.3530004248023033, 0.3739033117890358, 0.3630439043045044, 0.4018288552761078, 0.35234540700912476, 0.3538545146584511, 0.3728431537747383, 0.39830417931079865, 0.4002366289496422, 0.45799609273672104, 0.39758310467004776, 0.36743029952049255, 0.34192776679992676, 0.3553892895579338, 0.3953702449798584, 0.39523111283779144, 0.35398873686790466, 0.35216180235147476]","[0.2573527917265892, 0.25874411314725876, 0.307544007897377, 0.3364066705107689, 0.2916538789868355, 0.27698221057653427, 0.3664809688925743, 0.35872478783130646, 0.3165968507528305, 0.30530184507369995, 0.27937178313732147, 0.2694285735487938, 0.23735716938972473, 0.23446124792099, 0.23834041506052017, 0.2568281218409538, 0.25368738174438477, 0.24244928359985352, 0.32148123532533646, 0.26159391552209854, 0.27100756019353867, 0.26849575340747833, 0.2559625580906868, 0.31472764909267426, 0.2499176412820816, 0.2644689232110977, 0.2832917869091034, 0.2703801691532135, 0.24703408777713776, 0.2610582709312439]",48324,0,5,48324,0,5,48324,0,5,4,0,0.0,0.0,0,False,0.0,0.0,0.37013672664761543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
