row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,0,0.31629855930805206,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,1,0.33848123997449875,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,2,0.3907069191336632,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,3,0.34330810606479645,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,4,0.34378089755773544,0.34378089755773544,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,5,0.28828269243240356,0.28828269243240356,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,6,0.32130254805088043,0.32130254805088043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,7,0.40217792987823486,0.40217792987823486,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,8,0.2921770289540291,0.2921770289540291,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,9,0.3166840225458145,0.3166840225458145,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,10,0.4912969470024109,0.4912969470024109,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,11,0.43506970256567,0.43506970256567,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,12,0.4006064012646675,0.4006064012646675,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,13,0.40053876489400864,0.40053876489400864,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,14,0.3922790139913559,0.3922790139913559,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,15,0.35736098885536194,0.35736098885536194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,16,0.34104931354522705,0.34104931354522705,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,17,0.2716711238026619,0.2716711238026619,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,18,0.35862261056900024,0.35862261056900024,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,19,0.2963058650493622,0.2963058650493622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,20,0.26851484924554825,0.26851484924554825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,21,0.3121873363852501,0.3121873363852501,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,22,0.3745619133114815,0.3745619133114815,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,23,0.3159673437476158,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,24,0.362884484231472,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,25,0.3280029147863388,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,26,0.28541214019060135,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,27,0.3513184264302254,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,28,0.28056298941373825,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,stochastic_volatility,0,monolithic,monolithic,0,512,6,29,0.3184075877070427,0.3184075877070427,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,0,0.5752346068620682,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,1,0.5399385094642639,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,2,0.5430003777146339,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,3,0.5625171810388565,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,4,0.6189350783824921,0.34378089755773544,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,5,0.5856195688247681,0.28828269243240356,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,6,0.5931371748447418,0.32130254805088043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,7,0.4975038915872574,0.40217792987823486,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,8,0.5452439188957214,0.2921770289540291,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,9,0.5624399706721306,0.3166840225458145,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,10,0.5780343413352966,0.4912969470024109,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,11,0.6001526787877083,0.43506970256567,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,12,0.6895166039466858,0.4006064012646675,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,13,0.6128207817673683,0.40053876489400864,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,14,0.5881178602576256,0.3922790139913559,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,15,0.6204362064599991,0.35736098885536194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,16,0.6636701226234436,0.34104931354522705,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,17,0.6351141631603241,0.2716711238026619,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,18,0.5616816803812981,0.35862261056900024,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,19,0.6063054725527763,0.2963058650493622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,20,0.5501519590616226,0.26851484924554825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,21,0.5795580223202705,0.3121873363852501,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,22,0.6185467690229416,0.3745619133114815,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,23,0.6510455384850502,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,24,0.6751502454280853,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,25,0.6390760913491249,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,26,0.6238010972738266,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,27,0.6689646318554878,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,28,0.744010217487812,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
1,stochastic_volatility,0,bucketed,none,64,512,6,29,0.6502801701426506,0.3184075877070427,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,0,0.5977458134293556,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,1,0.685074932873249,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,2,0.6698284819722176,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,3,0.6466769948601723,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,4,0.5771532654762268,0.34378089755773544,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,5,0.6691073998808861,0.28828269243240356,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,6,0.6162792295217514,0.32130254805088043,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,7,0.553196057677269,0.40217792987823486,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,8,0.6806159988045692,0.2921770289540291,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,9,0.6372990608215332,0.3166840225458145,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,10,0.5794443935155869,0.4912969470024109,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,11,0.5912952423095703,0.43506970256567,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,12,0.5418534204363823,0.4006064012646675,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,13,0.5466678291559219,0.40053876489400864,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,14,0.5531540662050247,0.3922790139913559,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,15,0.639990545809269,0.35736098885536194,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,16,0.5716372653841972,0.34104931354522705,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,17,0.5575497522950172,0.2716711238026619,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,18,0.5113556310534477,0.35862261056900024,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,19,0.5484636947512627,0.2963058650493622,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,20,0.4970890134572983,0.26851484924554825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,21,0.5946476012468338,0.3121873363852501,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,22,0.6105136275291443,0.3745619133114815,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,23,0.603915199637413,0.3159673437476158,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,24,0.639046810567379,0.362884484231472,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,25,0.64911700040102,0.3280029147863388,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,26,0.7102202102541924,0.28541214019060135,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,27,0.7161068096756935,0.3513184264302254,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,28,0.5985063761472702,0.28056298941373825,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
2,stochastic_volatility,0,bucketed,none,128,512,6,29,0.6613451689481735,0.3184075877070427,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,0,0.7724673449993134,0.31629855930805206,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,1,0.7162609323859215,0.33848123997449875,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,2,0.6209725886583328,0.3907069191336632,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
3,stochastic_volatility,0,bucketed,history,64,512,6,3,0.6950432807207108,0.34330810606479645,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
