model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,timing_cold_prime_seconds,timing_warm_repeat_count,timing_warm_min_seconds,timing_warm_q1_seconds,timing_warm_median_seconds,timing_warm_q3_seconds,timing_warm_max_seconds,timing_warm_repeat_seconds_json,mono_warm_repeat_seconds_json,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,monolithic,nuts_reference,monolithic,0,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5010768957436085,1.0,0.5010768957436085,0.5010768957436085,1.0,4.263897992670536,30,0.43754449486732483,0.4753862638026476,0.5010768957436085,0.5123903024941683,0.5784299597144127,"[0.48086803406476974, 0.43754449486732483, 0.493364542722702, 0.4655666872859001, 0.5092131718993187, 0.5067403838038445, 0.5238175466656685, 0.43955548107624054, 0.5112926140427589, 0.5150169655680656, 0.4865223467350006, 0.49725694209337234, 0.4735590070486069, 0.4577415660023689, 0.45820730924606323, 0.5078118667006493, 0.466131828725338, 0.5183276832103729, 0.5155332684516907, 0.5784299597144127, 0.5075557827949524, 0.5239628702402115, 0.5127561986446381, 0.4894726797938347, 0.5419622361660004, 0.48288095742464066, 0.49665115028619766, 0.5058698132634163, 0.5048968493938446, 0.47072646766901016]","[0.48086803406476974, 0.43754449486732483, 0.493364542722702, 0.4655666872859001, 0.5092131718993187, 0.5067403838038445, 0.5238175466656685, 0.43955548107624054, 0.5112926140427589, 0.5150169655680656, 0.4865223467350006, 0.49725694209337234, 0.4735590070486069, 0.4577415660023689, 0.45820730924606323, 0.5078118667006493, 0.466131828725338, 0.5183276832103729, 0.5155332684516907, 0.5784299597144127, 0.5075557827949524, 0.5239628702402115, 0.5127561986446381, 0.4894726797938347, 0.5419622361660004, 0.48288095742464066, 0.49665115028619766, 0.5058698132634163, 0.5048968493938446, 0.47072646766901016]",39648,2,8,39648,2,8,39648,2,8,,0,0.0,0.0,0,False,0.0,0.0,0.5010768957436085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5467312633991241,0.9164957800809223,0.5010768957436085,0.5467312633991241,0.9164957800809223,3.308014892041683,30,0.4439903274178505,0.5096770692616701,0.5467312633991241,0.5676357485353947,0.6783552691340446,"[0.54305649548769, 0.4928402304649353, 0.5335212275385857, 0.5436018779873848, 0.4439903274178505, 0.49329791218042374, 0.5190761610865593, 0.5522785782814026, 0.5129735991358757, 0.5826067999005318, 0.5474000722169876, 0.5857595801353455, 0.6442622244358063, 0.5085782259702682, 0.5604418516159058, 0.5486304685473442, 0.470525361597538, 0.5505524426698685, 0.5715261027216911, 0.5387277230620384, 0.5460624545812607, 0.6005387231707573, 0.6215813979506493, 0.6783552691340446, 0.47290926426649094, 0.5700337141752243, 0.557732492685318, 0.551610678434372, 0.4986996203660965, 0.5084165334701538]","[0.48086803406476974, 0.43754449486732483, 0.493364542722702, 0.4655666872859001, 0.5092131718993187, 0.5067403838038445, 0.5238175466656685, 0.43955548107624054, 0.5112926140427589, 0.5150169655680656, 0.4865223467350006, 0.49725694209337234, 0.4735590070486069, 0.4577415660023689, 0.45820730924606323, 0.5078118667006493, 0.466131828725338, 0.5183276832103729, 0.5155332684516907, 0.5784299597144127, 0.5075557827949524, 0.5239628702402115, 0.5127561986446381, 0.4894726797938347, 0.5419622361660004, 0.48288095742464066, 0.49665115028619766, 0.5058698132634163, 0.5048968493938446, 0.47072646766901016]",39648,2,8,39648,2,8,39648,2,8,2,0,0.0,0.0,0,False,0.0,0.0,0.5467312633991241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,history,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5952073931694031,0.8418526071651063,0.5010768957436085,0.5952073931694031,0.8418526071651063,2.7605485394597054,30,0.5230756476521492,0.5659888312220573,0.5952073931694031,0.6181781440973282,0.8044284954667091,"[0.5647869110107422, 0.6310927793383598, 0.6187814399600029, 0.5972289517521858, 0.5704907327890396, 0.6078783124685287, 0.6221143454313278, 0.5670677945017815, 0.5931858345866203, 0.5516097396612167, 0.5624301433563232, 0.5417175740003586, 0.6820315569639206, 0.616368256509304, 0.5656291767954826, 0.5981392934918404, 0.5230756476521492, 0.5254642367362976, 0.6554522216320038, 0.6012635082006454, 0.5893367677927017, 0.5713827013969421, 0.5862488970160484, 0.6058488711714745, 0.5493444129824638, 0.6150507852435112, 0.6223183199763298, 0.5785217806696892, 0.8044284954667091, 0.7295697182416916]","[0.48086803406476974, 0.43754449486732483, 0.493364542722702, 0.4655666872859001, 0.5092131718993187, 0.5067403838038445, 0.5238175466656685, 0.43955548107624054, 0.5112926140427589, 0.5150169655680656, 0.4865223467350006, 0.49725694209337234, 0.4735590070486069, 0.4577415660023689, 0.45820730924606323, 0.5078118667006493, 0.466131828725338, 0.5183276832103729, 0.5155332684516907, 0.5784299597144127, 0.5075557827949524, 0.5239628702402115, 0.5127561986446381, 0.4894726797938347, 0.5419622361660004, 0.48288095742464066, 0.49665115028619766, 0.5058698132634163, 0.5048968493938446, 0.47072646766901016]",39648,2,8,39648,2,8,39648,2,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5952073931694031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5205723233520985,0.9625500113356893,0.5010768957436085,0.5205723233520985,0.9625500113356893,0.6960137560963631,30,0.43550657480955124,0.495356360450387,0.5205723233520985,0.5945986080914736,0.6908733546733856,"[0.6908733546733856, 0.6346216425299644, 0.613398052752018, 0.6750940605998039, 0.6708328649401665, 0.5673137977719307, 0.6036935448646545, 0.6520597413182259, 0.5111653134226799, 0.4945805296301842, 0.5174190551042557, 0.5525218471884727, 0.4713481217622757, 0.5218079388141632, 0.43550657480955124, 0.49298031628131866, 0.5402562916278839, 0.4801277369260788, 0.5418888702988625, 0.4855111390352249, 0.4908462315797806, 0.5368194729089737, 0.4976838529109955, 0.45871400088071823, 0.500823937356472, 0.5061180368065834, 0.5082524493336678, 0.5326787605881691, 0.5193367078900337, 0.6243153810501099]","[0.48086803406476974, 0.43754449486732483, 0.493364542722702, 0.4655666872859001, 0.5092131718993187, 0.5067403838038445, 0.5238175466656685, 0.43955548107624054, 0.5112926140427589, 0.5150169655680656, 0.4865223467350006, 0.49725694209337234, 0.4735590070486069, 0.4577415660023689, 0.45820730924606323, 0.5078118667006493, 0.466131828725338, 0.5183276832103729, 0.5155332684516907, 0.5784299597144127, 0.5075557827949524, 0.5239628702402115, 0.5127561986446381, 0.4894726797938347, 0.5419622361660004, 0.48288095742464066, 0.49665115028619766, 0.5058698132634163, 0.5048968493938446, 0.47072646766901016]",39648,2,8,39648,2,8,39648,2,8,2,0,0.0,0.0,0,False,0.0,0.0,0.5205723233520985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,0,bucketed,bucketed_nuts,last_depth,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5902214609086514,0.8489642090821232,0.5010768957436085,0.5902214609086514,0.8489642090821232,0.5677671879529953,30,0.5436710119247437,0.565714780241251,0.5902214609086514,0.6162431947886944,0.6965082958340645,"[0.5645161271095276, 0.5489699840545654, 0.6744191870093346, 0.5779854506254196, 0.560376301407814, 0.6155871450901031, 0.5506419241428375, 0.557403177022934, 0.5866354554891586, 0.6157738193869591, 0.6198232471942902, 0.6203729510307312, 0.5794780924916267, 0.5693107396364212, 0.5461695045232773, 0.5750336945056915, 0.5467202514410019, 0.5938074663281441, 0.5436710119247437, 0.646551214158535, 0.5981241911649704, 0.6078485175967216, 0.6095583662390709, 0.616706021130085, 0.6163996532559395, 0.5844826474785805, 0.5839502587914467, 0.6277864500880241, 0.6105946227908134, 0.6965082958340645]","[0.48086803406476974, 0.43754449486732483, 0.493364542722702, 0.4655666872859001, 0.5092131718993187, 0.5067403838038445, 0.5238175466656685, 0.43955548107624054, 0.5112926140427589, 0.5150169655680656, 0.4865223467350006, 0.49725694209337234, 0.4735590070486069, 0.4577415660023689, 0.45820730924606323, 0.5078118667006493, 0.466131828725338, 0.5183276832103729, 0.5155332684516907, 0.5784299597144127, 0.5075557827949524, 0.5239628702402115, 0.5127561986446381, 0.4894726797938347, 0.5419622361660004, 0.48288095742464066, 0.49665115028619766, 0.5058698132634163, 0.5048968493938446, 0.47072646766901016]",39648,2,8,39648,2,8,39648,2,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5902214609086514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,monolithic,nuts_reference,monolithic,0,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5064951032400131,1.0,0.5064951032400131,0.5064951032400131,1.0,0.5035036578774452,30,0.46645402908325195,0.4924607779830694,0.5064951032400131,0.5240403227508068,0.5587793588638306,"[0.4986115023493767, 0.5291814729571342, 0.5091178640723228, 0.4914645329117775, 0.4954495131969452, 0.5243863686919212, 0.5249905735254288, 0.5230021849274635, 0.48082921653985977, 0.5587793588638306, 0.5059079602360725, 0.5388348400592804, 0.47602246701717377, 0.5053195729851723, 0.5117902830243111, 0.4860675036907196, 0.5098613202571869, 0.46645402908325195, 0.47157739847898483, 0.5437435135245323, 0.5200162902474403, 0.5070822462439537, 0.49908942729234695, 0.5286569818854332, 0.4827238842844963, 0.5553189292550087, 0.5174856409430504, 0.5041341036558151, 0.49964261054992676, 0.47871071100234985]","[0.4986115023493767, 0.5291814729571342, 0.5091178640723228, 0.4914645329117775, 0.4954495131969452, 0.5243863686919212, 0.5249905735254288, 0.5230021849274635, 0.48082921653985977, 0.5587793588638306, 0.5059079602360725, 0.5388348400592804, 0.47602246701717377, 0.5053195729851723, 0.5117902830243111, 0.4860675036907196, 0.5098613202571869, 0.46645402908325195, 0.47157739847898483, 0.5437435135245323, 0.5200162902474403, 0.5070822462439537, 0.49908942729234695, 0.5286569818854332, 0.4827238842844963, 0.5553189292550087, 0.5174856409430504, 0.5041341036558151, 0.49964261054992676, 0.47871071100234985]",39366,1,8,39366,1,8,39366,1,8,,0,0.0,0.0,0,False,0.0,0.0,0.5064951032400131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,history,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5625926069915295,0.9002875205710604,0.5064951032400131,0.5625926069915295,0.9002875205710604,0.4941624253988266,30,0.4939088821411133,0.5463070720434189,0.5625926069915295,0.5811546463519335,0.6391679346561432,"[0.5260332748293877, 0.5452829375863075, 0.5178620591759682, 0.5807360261678696, 0.5679374784231186, 0.556444987654686, 0.5876378044486046, 0.6391679346561432, 0.5588261187076569, 0.5733518376946449, 0.5947330966591835, 0.5254219025373459, 0.5642361640930176, 0.5506979897618294, 0.5718902200460434, 0.5784768760204315, 0.6160637214779854, 0.5871803164482117, 0.5320361405611038, 0.5898699089884758, 0.5567951947450638, 0.5879364535212517, 0.5812941864132881, 0.5609490498900414, 0.5077957659959793, 0.5673215091228485, 0.549379475414753, 0.4939088821411133, 0.5264217332005501, 0.5534395724534988]","[0.4986115023493767, 0.5291814729571342, 0.5091178640723228, 0.4914645329117775, 0.4954495131969452, 0.5243863686919212, 0.5249905735254288, 0.5230021849274635, 0.48082921653985977, 0.5587793588638306, 0.5059079602360725, 0.5388348400592804, 0.47602246701717377, 0.5053195729851723, 0.5117902830243111, 0.4860675036907196, 0.5098613202571869, 0.46645402908325195, 0.47157739847898483, 0.5437435135245323, 0.5200162902474403, 0.5070822462439537, 0.49908942729234695, 0.5286569818854332, 0.4827238842844963, 0.5553189292550087, 0.5174856409430504, 0.5041341036558151, 0.49964261054992676, 0.47871071100234985]",39366,1,8,39366,1,8,39366,1,8,2,0,0.0,0.0,0,False,0.0,0.0,0.5625926069915295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,history,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.6065150387585163,0.8350907576451273,0.5064951032400131,0.6065150387585163,0.8350907576451273,0.6511608883738518,30,0.5463192835450172,0.5782186184078455,0.6065150387585163,0.644818626344204,0.7050638347864151,"[0.5781706869602203, 0.578362412750721, 0.593865804374218, 0.5476192757487297, 0.5614772364497185, 0.6094771474599838, 0.7050638347864151, 0.6593729257583618, 0.6599398776888847, 0.6435277014970779, 0.6536393240094185, 0.6452489346265793, 0.5899660065770149, 0.6385682672262192, 0.6308020725846291, 0.6873102262616158, 0.6254745498299599, 0.6177022308111191, 0.667955256998539, 0.5525666400790215, 0.5586768314242363, 0.6035529300570488, 0.5463192835450172, 0.5883440151810646, 0.6768549531698227, 0.6284008175134659, 0.5955281481146812, 0.5965916812419891, 0.5531522184610367, 0.5633620694279671]","[0.4986115023493767, 0.5291814729571342, 0.5091178640723228, 0.4914645329117775, 0.4954495131969452, 0.5243863686919212, 0.5249905735254288, 0.5230021849274635, 0.48082921653985977, 0.5587793588638306, 0.5059079602360725, 0.5388348400592804, 0.47602246701717377, 0.5053195729851723, 0.5117902830243111, 0.4860675036907196, 0.5098613202571869, 0.46645402908325195, 0.47157739847898483, 0.5437435135245323, 0.5200162902474403, 0.5070822462439537, 0.49908942729234695, 0.5286569818854332, 0.4827238842844963, 0.5553189292550087, 0.5174856409430504, 0.5041341036558151, 0.49964261054992676, 0.47871071100234985]",39366,1,8,39366,1,8,39366,1,8,1,0,0.0,0.0,0,False,0.0,0.0,0.6065150387585163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,last_depth,64,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5180602632462978,0.9776760334139228,0.5064951032400131,0.5180602632462978,0.9776760334139228,0.5350986868143082,30,0.402556911110878,0.47949304059147835,0.5180602632462978,0.5324697084724903,0.6343579217791557,"[0.6218696758151054, 0.5782111659646034, 0.6343579217791557, 0.5143441706895828, 0.5278360173106194, 0.4838445112109184, 0.46660054475069046, 0.4862051159143448, 0.5330082923173904, 0.5370628461241722, 0.41073330491781235, 0.4944780170917511, 0.565534383058548, 0.5599114894866943, 0.5308539569377899, 0.5383712872862816, 0.4658745899796486, 0.46758483350276947, 0.49423616379499435, 0.5299713537096977, 0.5286311656236649, 0.4395572394132614, 0.45709483325481415, 0.4780425503849983, 0.5236747786402702, 0.5144916847348213, 0.5216288417577744, 0.402556911110878, 0.5302999243140221, 0.48941120505332947]","[0.4986115023493767, 0.5291814729571342, 0.5091178640723228, 0.4914645329117775, 0.4954495131969452, 0.5243863686919212, 0.5249905735254288, 0.5230021849274635, 0.48082921653985977, 0.5587793588638306, 0.5059079602360725, 0.5388348400592804, 0.47602246701717377, 0.5053195729851723, 0.5117902830243111, 0.4860675036907196, 0.5098613202571869, 0.46645402908325195, 0.47157739847898483, 0.5437435135245323, 0.5200162902474403, 0.5070822462439537, 0.49908942729234695, 0.5286569818854332, 0.4827238842844963, 0.5553189292550087, 0.5174856409430504, 0.5041341036558151, 0.49964261054992676, 0.47871071100234985]",39366,1,8,39366,1,8,39366,1,8,2,0,0.0,0.0,0,False,0.0,0.0,0.5180602632462978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
funnel,,,1,bucketed,bucketed_nuts,last_depth,128,128,4,,,,,,,,,,16,0.2,8,,,0.9,0.5314782224595547,0.9529931459770343,0.5064951032400131,0.5314782224595547,0.9529931459770343,0.5159311592578888,30,0.4643801599740982,0.505976052954793,0.5314782224595547,0.5571230296045542,0.5917812436819077,"[0.534582145512104, 0.5516182407736778, 0.46806904673576355, 0.517255462706089, 0.479108527302742, 0.4643801599740982, 0.5001780837774277, 0.4897255301475525, 0.503161296248436, 0.5006910264492035, 0.5574179068207741, 0.5041181445121765, 0.5236015692353249, 0.5387874767184258, 0.527833104133606, 0.5406926646828651, 0.5299087241292, 0.5518362373113632, 0.5821357741951942, 0.5621855854988098, 0.5917812436819077, 0.5839681923389435, 0.5259321630001068, 0.5652626380324364, 0.5115497782826424, 0.5292475074529648, 0.5562383979558945, 0.5674441829323769, 0.5330477207899094, 0.5888669118285179]","[0.4986115023493767, 0.5291814729571342, 0.5091178640723228, 0.4914645329117775, 0.4954495131969452, 0.5243863686919212, 0.5249905735254288, 0.5230021849274635, 0.48082921653985977, 0.5587793588638306, 0.5059079602360725, 0.5388348400592804, 0.47602246701717377, 0.5053195729851723, 0.5117902830243111, 0.4860675036907196, 0.5098613202571869, 0.46645402908325195, 0.47157739847898483, 0.5437435135245323, 0.5200162902474403, 0.5070822462439537, 0.49908942729234695, 0.5286569818854332, 0.4827238842844963, 0.5553189292550087, 0.5174856409430504, 0.5041341036558151, 0.49964261054992676, 0.47871071100234985]",39366,1,8,39366,1,8,39366,1,8,1,0,0.0,0.0,0,False,0.0,0.0,0.5314782224595547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
