row_number,model,seed,method,predictor,bucket_size,num_chains,dimension,repeat,method_seconds,monolithic_seconds_same_index,pairing_note
0,funnel,0,monolithic,monolithic,0,128,4,0,0.48086803406476974,0.48086803406476974,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,1,0.43754449486732483,0.43754449486732483,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,2,0.493364542722702,0.493364542722702,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,3,0.4655666872859001,0.4655666872859001,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,4,0.5092131718993187,0.5092131718993187,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,5,0.5067403838038445,0.5067403838038445,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,6,0.5238175466656685,0.5238175466656685,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,7,0.43955548107624054,0.43955548107624054,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,8,0.5112926140427589,0.5112926140427589,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,9,0.5150169655680656,0.5150169655680656,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,10,0.4865223467350006,0.4865223467350006,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,11,0.49725694209337234,0.49725694209337234,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,12,0.4735590070486069,0.4735590070486069,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,13,0.4577415660023689,0.4577415660023689,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,14,0.45820730924606323,0.45820730924606323,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,15,0.5078118667006493,0.5078118667006493,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
0,funnel,0,monolithic,monolithic,0,128,4,16,0.466131828725338,0.466131828725338,repeat indices align samples but methods were timed sequentially; use independent-resample intervals
